"name","group","id","Razão de dependência","Taxa de frequência bruta ao médio","Taxa de frequência bruta à pré-escola","Taxa de frequência bruta ao superior","Taxa de frequência líquida ao médio","Taxa de frequência líquida à pré-escola","Taxa de frequência líquida ao superior","% de 0 a 3 anos na escola","% de 4 a 5 anos na escola","% de 25 anos ou mais com superior completo","Renda per capita","Renda per capita , exceto renda nula","População total em domicílios particulares permanentes, exceto com renda nula","IDHM"
"SÃO LUÍS GONZAGA DO MARANHÃO","Maranhão",211140,64.64,67.51,82.53,7.75,31.04,63.63,1.51,26.18,88.88,2.89,182.83,201,18330,0.54
"SÃO MATEUS DO MARANHÃO","Maranhão",211150,64.65,71.56,68.98,6.98,40.6,59.57,1.73,11.71,80.31,2.43,396.29,407.3,37980,0.616
"SÃO PEDRO DA ÁGUA BRANCA","Maranhão",211153,66.69,53.66,67.48,9.09,27.75,48.4,3.03,27.73,95.46,3.11,289.7,292.07,11931,0.605
"SÃO PEDRO DOS CRENTES","Maranhão",211157,60.38,80.13,51.11,13.56,49.16,41.69,6.9,4.82,47.59,3.29,257.76,260.5,4360,0.6
"SÃO RAIMUNDO DAS MANGABEIRAS","Maranhão",211160,63.81,63.53,69.2,5.98,37.19,55.54,2.96,14.78,88.3,3.99,301.25,310.05,16943,0.61
"SÃO RAIMUNDO DO DOCA BEZERRA","Maranhão",211163,64.86,41.88,77.76,9.3,17.53,64.72,1.48,16.5,92.05,2.38,156.4,169.83,5592,0.516
"SÃO ROBERTO","Maranhão",211167,61.39,55.55,41.12,13.95,22.09,25.76,4.33,22.93,92.75,1.91,153.65,164.91,5531,0.516
"SÃO VICENTE FERRER","Maranhão",211170,60.87,69.72,93.26,4.21,34.89,66.04,1.2,34.77,93.18,2.52,184.71,203.84,18836,0.592
"SATUBINHA","Maranhão",211172,71.83,49.13,46.43,7.62,28.2,26.72,3.02,15.95,74.75,1.13,131.73,147.92,10589,0.493
"SENADOR ALEXANDRE COSTA","Maranhão",211174,68.41,49.08,86.28,17.24,24.02,61.94,5.17,23.81,92.54,2.66,203.17,211.72,9824,0.538
"SENADOR LA ROCQUE","Maranhão",211176,69.34,68.67,66.4,10.4,35.23,45.68,5.03,20.82,94.24,4.5,277.19,282.67,17462,0.602
"SERRANO DO MARANHÃO","Maranhão",211178,73.13,71.81,108.66,14.09,33.64,80.28,3.04,22.77,90.82,1.24,123.44,139.38,9683,0.519
"SÍTIO NOVO","Maranhão",211180,61.88,55.44,29.19,4.87,28.63,25.04,1.69,5.82,46,3.53,190.06,202.77,15874,0.564
"SUCUPIRA DO NORTE","Maranhão",211190,63.83,75.69,68.58,12.14,42.14,61.71,2.86,21.1,86.07,3.19,210.88,215.83,10191,0.579
"SUCUPIRA DO RIACHÃO","Maranhão",211195,64.63,56.13,67.01,5.48,27.07,65.64,2.7,0.79,84.82,2.37,226.96,238.79,4383,0.568
"TASSO FRAGOSO","Maranhão",211200,70.44,52.75,62.71,22.19,31.27,44.45,9.16,20.75,79.67,2.6,264.76,275.45,7467,0.599
"TIMBIRAS","Maranhão",211210,67.48,54.85,40.6,6.63,29.01,31.76,2.91,12.58,72.63,2.95,177.46,192.43,25811,0.537
"TIMON","Maranhão",211220,53.69,86.64,83.53,23.09,41.27,63.25,10.26,17.57,92.3,4.79,365.26,366.56,154434,0.649
"TRIZIDELA DO VALE","Maranhão",211223,57.9,66.48,84.09,15.09,36.21,59.49,5,24.78,98.37,1.45,269.74,272.94,18687,0.606
"TUFILÂNDIA","Maranhão",211227,82.34,66.23,112.32,14.3,29.06,72.73,3.78,33.46,95.86,3.35,181.75,184.82,5503,0.555
"TUNTUM","Maranhão",211230,62.48,52.38,118.29,11.6,30.72,84.05,2.86,23.27,95.73,2.55,221.27,229.48,37723,0.572
"TURIAÇU","Maranhão",211240,73.74,62.8,98.4,8.39,24.32,73.03,2.6,25.73,95.16,1.78,171.5,191.07,30308,0.561
"TURILÂNDIA","Maranhão",211245,72.4,52.17,71.89,1.83,21.48,49.88,0.73,35.13,95.13,1.33,174.09,181.55,21809,0.536
"TUTÓIA","Maranhão",211250,69.28,68.73,71.42,12.73,27.56,48.85,3.52,20.32,93.72,2.39,235.35,242.68,50992,0.561
"URBANO SANTOS","Maranhão",211260,75.23,73.99,58.07,12.1,40.21,45.63,2.74,12.91,77.56,2.23,186.07,202.62,22535,0.588
"VARGEM GRANDE","Maranhão",211270,68.55,69.76,48.88,6.19,29.82,37.29,1.7,26.74,71.94,1.61,165.37,183.08,44520,0.542
"VIANA","Maranhão",211280,64.22,61.91,80.04,7.03,32.35,70.45,2.64,7.36,89.49,3.9,272.76,277.86,48407,0.618
"VILA NOVA DOS MARTÍRIOS","Maranhão",211285,65.27,71.18,39.08,3.02,31.97,34.25,1.15,17.21,84.09,0.89,252.89,255.37,11091,0.581
"VITÓRIA DO MEARIM","Maranhão",211290,64.94,89.05,110.12,4.87,47.88,73.49,1.17,24.18,93.7,2.3,230.76,237.59,30173,0.596
"VITORINO FREIRE","Maranhão",211300,63.75,67.08,74.04,17.21,31.79,53.77,6.18,29.61,94.81,4.84,265.69,271.7,30801,0.57
"ZÉ DOCA","Maranhão",211400,63.72,93.67,54.78,14.98,39.19,40.45,4.94,20.69,90.47,3.03,259.21,270.32,48019,0.595
"ACAUÃ","Piauí",220005,55.11,50.51,10.94,6.42,29.37,10.94,1.93,7.13,59.59,1.81,199.35,205.69,6541,0.528
"AGRICOLÂNDIA","Piauí",220010,59.21,80.75,44.66,19.76,46.69,39.61,7.55,11.22,97.59,3.5,245.68,247.22,5062,0.599
"ÁGUA BRANCA","Piauí",220020,58.72,73.9,101.48,25.08,39.65,71.01,9.42,28.6,95.32,4.79,335.63,336.39,16399,0.639
"ALAGOINHA DO PIAUÍ","Piauí",220025,46.73,38.32,61.49,7.66,27.04,52.48,5.97,16.13,83.65,2.93,222.87,231.01,7082,0.531
"ALEGRETE DO PIAUÍ","Piauí",220027,54.28,69.75,89.81,27.63,30.12,70.2,15.45,17.42,90.78,4.48,268.12,271.29,5074,0.585
"ALTO LONGÁ","Piauí",220030,53.1,75.28,63.94,10.16,36.86,56.88,5.23,10.57,86.83,1.7,272.28,278.97,13281,0.585
"ALTOS","Piauí",220040,54.07,96.7,60.66,15.82,35.8,47.18,4.8,11.03,83.69,4.47,314.48,320.45,37965,0.614
"ALVORADA DO GURGUÉIA","Piauí",220045,63.17,86.15,109.83,4.81,39.5,71.9,2.95,26.93,94.85,5.24,203.23,211.11,4841,0.578
"AMARANTE","Piauí",220050,59.54,72.01,76.41,16.65,38.14,60.35,6.11,15.46,88.77,4.77,284.71,291.03,16712,0.598
"ANGICAL DO PIAUÍ","Piauí",220060,57.43,102.14,89.25,14.54,49.34,60.46,9.78,20.07,93.89,4.55,356.17,361.59,6572,0.63
"ANÍSIO DE ABREU","Piauí",220070,56.08,61.38,69.67,11.38,34.63,62.53,7.01,13.57,87.47,5.06,221.91,227.34,8873,0.594
"ANTÔNIO ALMEIDA","Piauí",220080,51.95,87.19,18.9,18.84,34.7,11.18,12.25,35.89,96.57,8.13,293.53,299.42,2971,0.62
"AROAZES","Piauí",220090,55.06,77.55,63.23,14.63,34.69,52.17,1.92,28.26,100,3.73,265.91,269.77,5691,0.583
"AROEIRAS DO ITAIM","Piauí",220095,48.69,126.17,39.31,6.65,32.85,30.11,5.39,4.67,86.43,0.6,182.29,191.45,2323,0.519
"ARRAIAL","Piauí",220100,60.22,71.41,68.05,24.89,29.36,55.88,10.11,20.42,93.51,4.21,195.46,205.49,4459,0.56
"ASSUNÇÃO DO PIAUÍ","Piauí",220105,70.06,72.58,54.54,13.04,25.65,51.88,0.72,30.01,98.37,2.07,141.79,145.97,7285,0.499
"AVELINO LOPES","Piauí",220110,59.47,65.25,42.16,6.62,27.14,39.72,1.01,10.34,78.63,3.42,218.97,227.74,10635,0.554
"BAIXA GRANDE DO RIBEIRO","Piauí",220115,64.85,53.74,52.51,7.37,20.3,42.76,2.64,9.58,86.28,2.66,225.94,240.67,9856,0.564
"BARRA D'ALCÂNTARA","Piauí",220117,57.74,73.23,90.11,15.26,47,84.45,4.94,27.6,98.5,2.15,211.18,213.81,3805,0.577
"BARRAS","Piauí",220120,58.44,71.34,82.38,13.35,33.94,65.32,6.87,12.11,91,4.42,257.99,263.24,43629,0.595
"BARREIRAS DO PIAUÍ","Piauí",220130,63.16,66.77,63.51,13.48,16.53,37.67,6.69,16.78,69.27,5.85,260.79,262.36,3212,0.557
"BARRO DURO","Piauí",220140,58.25,66.76,49.79,21.48,40.52,32.22,7.53,20.63,98.73,3.53,359.06,362.1,6525,0.612
"BATALHA","Piauí",220150,58.36,44.72,81.23,10.01,16.54,60.5,3.46,18.12,95.57,2.17,230.66,236.12,25158,0.545
"BELA VISTA DO PIAUÍ","Piauí",220155,53.95,91.13,60,23.22,46.79,54.83,6.3,8.46,80.93,2.96,203.61,209.5,3666,0.576
"BELÉM DO PIAUÍ","Piauí",220157,50.28,69.27,116.91,11.45,39.69,76.69,2.71,30.55,100,2.76,226.26,228.95,3245,0.551
"BENEDITINOS","Piauí",220160,55,61.13,64.95,11.29,27.1,53.7,4.31,28.94,89.9,3.41,263.09,269.13,9656,0.557
"BERTOLÍNIA","Piauí",220170,58.82,89.72,85.18,27.05,40.23,52.71,11.74,31.97,89.72,6.07,325.94,333.03,5174,0.612
"BETÂNIA DO PIAUÍ","Piauí",220173,61.37,57.09,18.85,10.2,26.3,18.85,5.85,10.04,41.37,2.14,164.69,168.03,5895,0.489
"BOA HORA","Piauí",220177,61.64,86.04,80.77,14,32.24,64.21,3.55,42.05,99.28,4.13,221.27,225.96,6159,0.575
"BOCAINA","Piauí",220180,50.66,113.99,40.35,33.25,48.63,40.35,16.83,0,63.05,6.84,366.07,371.28,4304,0.632
"BOM JESUS","Piauí",220190,53.01,86.21,88.07,37.52,31.84,70.54,18.13,13.67,89.71,10.47,501.14,512.41,21959,0.668
"BOM PRINCÍPIO DO PIAUÍ","Piauí",220191,57.9,44.79,27.43,6.63,16.7,26.26,1.57,22.68,80.99,2.78,211.44,218.46,5132,0.532
"BONFIM DO PIAUÍ","Piauí",220192,54.84,61.44,61.71,10.28,25.21,59.11,4.78,2.12,80.88,3.1,233.05,237.11,5296,0.542
"BOQUEIRÃO DO PIAUÍ","Piauí",220194,60.65,71.02,74.61,15.45,39.12,55.93,2.88,22.41,96.3,2.28,253.4,256.97,6077,0.56
"BRASILEIRA","Piauí",220196,53.4,61.05,82.01,12.77,36,74.22,6.06,5.29,84.43,3.01,281.71,285.29,7840,0.577
"BREJO DO PIAUÍ","Piauí",220198,58.57,56.57,57.73,14.25,14.51,57.73,2.69,0,62.52,1.89,218.15,223.48,3757,0.515
"BURITI DOS LOPES","Piauí",220200,57.53,72.36,56.35,16.11,32.83,43.37,6.15,12.74,88.85,3.89,236.13,240.18,18627,0.565
"BURITI DOS MONTES","Piauí",220202,60.57,77.73,71.14,16.98,34.46,54.81,10.17,44.6,96.46,3.42,212.72,219.2,7738,0.574
"CABECEIRAS DO PIAUÍ","Piauí",220205,53.12,55.8,71.04,11.55,25.19,50.53,5.63,22.39,100,2.53,229.86,236.47,9631,0.583
"CAJAZEIRAS DO PIAUÍ","Piauí",220207,58.66,114.26,59.9,13.73,34.05,43.43,6.33,30.25,93.32,3.89,210.45,215.64,3263,0.562
"CAJUEIRO DA PRAIA","Piauí",220208,56.33,41.39,74.52,10.43,19,47.07,4.1,25.1,83.47,3.16,246.88,258.32,6834,0.546
"CALDEIRÃO GRANDE DO PIAUÍ","Piauí",220209,61.89,55.35,36.93,9.98,37.39,33.7,5.86,29.16,82.47,3.53,262.36,264.49,5610,0.588
"CAMPINAS DO PIAUÍ","Piauí",220210,57.3,52.15,91.57,17.36,17.08,59.5,5.86,31.41,93.46,2.49,209,213.58,5281,0.544
"CAMPO ALEGRE DO FIDALGO","Piauí",220211,56.02,56.3,64.49,3.03,15.82,55.53,0.87,12.92,91.69,3.15,213.61,221.1,4499,0.537
"CAMPO GRANDE DO PIAUÍ","Piauí",220213,50.65,67.63,56.81,21.17,35.39,50.52,11.42,13.25,96.83,2.16,237.66,240.32,5527,0.56
"CAMPO LARGO DO PIAUÍ","Piauí",220217,67.03,42.83,39.42,2.88,17.77,34.4,1.42,26.69,83.9,3.4,158.02,159.77,6717,0.528
"CAMPO MAIOR","Piauí",220220,47.65,88.86,81.24,30.43,36.72,65.21,15.78,31.31,93.32,7.26,401.74,405.48,44676,0.656
"CANAVIEIRA","Piauí",220225,63.24,41.41,41.97,23.85,25.84,37.87,8.96,32.51,97.44,2.6,209.47,214.5,3829,0.583
"CANTO DO BURITI","Piauí",220230,55.25,47.27,62.6,18.91,22.52,54.33,8.91,9.3,74.57,3.96,279.71,281.88,19813,0.576
"CAPITÃO DE CAMPOS","Piauí",220240,56.32,67.24,74.26,18.4,33.89,70.29,8.18,25.22,94.46,2.42,248.79,251.47,10818,0.583
"CAPITÃO GERVÁSIO OLIVEIRA","Piauí",220245,57.45,77.29,54.27,11.61,34.1,49.23,0.83,23.83,84.6,2.35,182.53,196.67,3599,0.553
"CARACOL","Piauí",220250,59,75.38,75.53,10.79,32.49,63.99,4.77,12.87,92.58,3.62,221.08,234.2,9626,0.552
"CARAÚBAS DO PIAUÍ","Piauí",220253,60.89,41.38,80.84,9,15.54,60.83,4.23,20.68,96.76,1.38,158.13,164.52,5293,0.505
"CARIDADE DO PIAUÍ","Piauí",220255,58.3,65.8,65.26,15.88,29.83,56.2,7.09,34.27,90.1,3.79,203.34,209.9,4669,0.541
"CASTELO DO PIAUÍ","Piauí",220260,60.5,83.05,54.56,15.28,40.68,45,8.28,33.44,97.19,4.8,270.82,274.29,18075,0.587
"CAXINGÓ","Piauí",220265,61.61,41.47,50.58,5.65,13.63,44.52,2.69,7.15,84.51,1.45,177.35,179.55,4963,0.488
"COCAL","Piauí",220270,62.5,45.86,40.39,7.26,17.37,35.6,1.98,3.81,46.48,1.18,198.58,203.32,25320,0.497
"COCAL DE TELHA","Piauí",220271,56.57,64.64,71.44,14.45,26.44,58.13,5.53,12.8,93.15,1.75,245.15,249.5,4446,0.555
"COCAL DOS ALVES","Piauí",220272,55.6,44.2,70.26,9.99,20.62,68.57,6.59,1.66,76.75,3,183.59,190.69,5348,0.498
"COIVARAS","Piauí",220273,55.55,63.58,57.7,8,28,53.05,3.55,16.3,92.09,2.27,234.94,240.45,3716,0.565
"COLÔNIA DO GURGUÉIA","Piauí",220275,62,100.01,91.59,18.54,36.83,63.59,12.45,31.66,95.25,7.42,291.37,292.55,5981,0.628
"COLÔNIA DO PIAUÍ","Piauí",220277,54.98,77.3,120.03,14.01,44.1,83.73,4.63,18.78,97.36,3.38,277.73,279.35,7387,0.588
"CONCEIÇÃO DO CANINDÉ","Piauí",220280,60.05,75.58,75.68,15.14,41.14,61.95,5.55,13.88,90.78,3.74,258.93,263.24,4397,0.589
"CORONEL JOSÉ DIAS","Piauí",220285,51.97,71.4,60.23,13.73,28.62,56.83,6.93,17.5,83.22,4.42,200.41,217.63,4179,0.546
"CORRENTE","Piauí",220290,59.22,75.1,55.9,36.43,35.91,48.62,15.14,6.25,75.41,10.74,378.39,387.5,24700,0.642
