"name","group","id","Razão de dependência 2000","Taxa de frequência bruta ao superior 2000","Taxa de frequência líquida ao superior 2000","Taxa de frequência bruta ao superior","Taxa de frequência líquida ao superior","Renda per capita , exceto renda nula 2000","Renda per capita , exceto renda nula 2010","% Variação renda per capita exceto nula 2000-2010","Renda per capita 2000","Renda per capita 2010","% Variação renda per capita 2000-2010","IDHM 2000","IDHM","% de 25 anos ou mais com superior completo"
"GOVERNADOR JORGE TEIXEIRA","Rondônia",110100,68.28,0.51,0,6.78,1.94,349.65,404.89,15.7986557986558,323.18,396.36,22.6437279534625,0.38,0.596,2.93
"ITAPUÃ DO OESTE","Rondônia",110110,70.38,3.77,0.51,15.29,5.21,427.46,417.95,-2.22476956908249,400.02,411.36,2.83485825708715,0.478,0.614,4.02
"MINISTRO ANDREAZZA","Rondônia",110120,65.05,4.92,1.79,20.72,11.23,426.88,475.43,11.3732196401799,385.37,448.38,16.3505202792122,0.467,0.638,3.85
"MIRANTE DA SERRA","Rondônia",110130,65.69,2.44,1.17,13.41,5.67,360.31,537.84,49.271460686631,356.77,527.79,47.935644813185,0.47,0.643,4.12
"MONTE NEGRO","Rondônia",110140,64.2,0.84,0.31,16.2,6.65,348.3,453.52,30.2095894343956,341.19,443.85,30.0888068231777,0.435,0.607,5.07
"NOVA UNIÃO","Rondônia",110143,64.86,2.48,0.92,7.88,1.34,256.83,359.68,40.0459447883814,244.26,352.24,44.2069925489233,0.405,0.587,2.85
"PARECIS","Rondônia",110145,66.76,3.67,0,6,3.68,242.72,374.53,54.3053724456163,185.42,343.73,85.3791392514292,0.412,0.617,4.8
"PIMENTEIRAS DO OESTE","Rondônia",110146,69.83,1.82,0,14.84,1.35,233.76,504.68,115.896646132786,216.55,493.67,127.970445624567,0.524,0.665,5.92
"PRIMAVERA DE RONDÔNIA","Rondônia",110147,60.44,1.4,0,27.66,11.84,243.1,455.21,87.2521596051008,234.37,442.61,88.8509621538593,0.439,0.641,3.03
"SÃO FELIPE D'OESTE","Rondônia",110148,57.32,1.61,0.43,30.81,14.28,270.85,376.09,38.85545504892,263.7,368.24,39.6435343193022,0.466,0.649,4.5
"SÃO FRANCISCO DO GUAPORÉ","Rondônia",110149,66.7,0.36,0,11.21,2.81,461.87,496.39,7.47396453547535,450.63,477.9,6.0515278609946,0.434,0.611,5.07
"SERINGUEIRAS","Rondônia",110150,67.94,1.21,0.37,3.36,1.1,309.37,469.25,51.6792190580858,307.82,441.13,43.3077772724319,0.439,0.598,2.9
"TEIXEIRÓPOLIS","Rondônia",110155,63.17,3.28,0.68,6.56,3.21,286.75,472.26,64.6939843068875,279.34,464.45,66.2669148707668,0.44,0.643,3.66
"THEOBROMA","Rondônia",110160,60.4,1.76,0.54,7.43,0.93,253.92,419.15,65.0716761184625,230.65,382.6,65.8790375027097,0.402,0.589,4.06
"URUPÁ","Rondônia",110170,63.03,2.15,0.86,10.7,3.33,270.5,404.9,49.6857670979667,254.48,380.5,49.5205910091166,0.424,0.609,3.52
"VALE DO ANARI","Rondônia",110175,66.63,2.51,0.4,14.4,4.61,456.75,414.2,-9.31581828133553,440.68,394.02,-10.5881819006989,0.409,0.584,4.39
"VALE DO PARAÍSO","Rondônia",110180,60.92,3.74,0.31,15.79,6.57,374.04,461.28,23.3237086942573,333.84,432.03,29.4122933141625,0.438,0.627,3.46
"ACRELÂNDIA","Acre",120001,79.8,0,0,16.91,4.89,299.06,318.72,6.57393165251121,268.77,303.76,13.0185660602002,0.451,0.604,4.22
