"name","group","id","Razão de dependência 2000","Taxa de frequência bruta ao superior 2000","Taxa de frequência líquida ao superior 2000","Taxa de frequência bruta ao superior","Taxa de frequência líquida ao superior","Renda per capita , exceto renda nula 2000","Renda per capita , exceto renda nula 2010","% Variação renda per capita exceto nula 2000-2010","Renda per capita 2000","Renda per capita 2010","% Variação renda per capita 2000-2010","IDHM 2000","IDHM","% de 25 anos ou mais com superior completo"
"CAMPO LARGO DO PIAUÍ","Piauí",220217,86.46,0.45,0.45,2.88,1.42,78.68,159.77,103.063040162684,78.44,158.02,101.453340132585,0.336,0.528,3.4
"CAMPO MAIOR","Piauí",220220,56.72,10.1,5.38,30.43,15.78,243.47,405.48,66.5420791062554,237.51,401.74,69.1465622500105,0.5,0.656,7.26
"CANAVIEIRA","Piauí",220225,72.35,1.09,1.09,23.85,8.96,117.36,214.5,82.7709611451943,97.67,209.47,114.467083034709,0.388,0.583,2.6
"CANTO DO BURITI","Piauí",220230,62.15,5.94,2.83,18.91,8.91,205.42,281.88,37.2213026969136,205.42,279.71,36.1649303865252,0.426,0.576,3.96
"CAPITÃO DE CAMPOS","Piauí",220240,70.36,1.62,0.62,18.4,8.18,157.5,251.47,59.6634920634921,125.48,248.79,98.2706407395601,0.396,0.583,2.42
"CAPITÃO GERVÁSIO OLIVEIRA","Piauí",220245,70.54,0,0,11.61,0.83,124.87,196.67,57.4997997917834,109.07,182.53,67.351242321445,0.288,0.553,2.35
"CARACOL","Piauí",220250,77.73,6.26,2.59,10.79,4.77,161.14,234.2,45.33945637334,132.57,221.08,66.7647280681904,0.385,0.552,3.62
"CARAÚBAS DO PIAUÍ","Piauí",220253,77.39,0,0,9,4.23,92.78,164.52,77.3226988575124,92.78,158.13,70.4354386721276,0.272,0.505,1.38
"CARIDADE DO PIAUÍ","Piauí",220255,75.32,3.92,1.38,15.88,7.09,127.37,209.9,64.7954777420115,119.19,203.34,70.6015605336018,0.349,0.541,3.79
"CASTELO DO PIAUÍ","Piauí",220260,74.87,4.14,0.64,15.28,8.28,156.97,274.29,74.7403962540613,145.34,270.82,86.3354891977432,0.399,0.587,4.8
"CAXINGÓ","Piauí",220265,82.77,0,0,5.65,2.69,114.37,179.55,56.9904695287226,107.66,177.35,64.7315623258406,0.267,0.488,1.45
"COCAL","Piauí",220270,82.37,1.85,0.21,7.26,1.98,124.56,203.32,63.2305716120745,120.31,198.58,65.0569362480259,0.319,0.497,1.18
"COCAL DE TELHA","Piauí",220271,66,3.25,0,14.45,5.53,132.89,249.5,87.7492663104824,132.4,245.15,85.1586102719033,0.384,0.555,1.75
"COCAL DOS ALVES","Piauí",220272,75.44,0,0,9.99,6.59,108.07,190.69,76.4504487831961,108.07,183.59,69.8806329231054,0.264,0.498,3
"COIVARAS","Piauí",220273,66.49,2.29,0.75,8,3.55,123.98,240.45,93.942571382481,115.2,234.94,103.940972222222,0.37,0.565,2.27
"COLÔNIA DO GURGUÉIA","Piauí",220275,74.03,4.83,1.77,18.54,12.45,144.75,292.55,102.107081174439,140.88,291.37,106.821408290744,0.445,0.628,7.42
"COLÔNIA DO PIAUÍ","Piauí",220277,73.34,4.38,1.55,14.01,4.63,130.39,279.35,114.241889715469,119.77,277.73,131.886115053853,0.335,0.588,3.38
"CONCEIÇÃO DO CANINDÉ","Piauí",220280,72.3,1.98,1.19,15.14,5.55,154.55,263.24,70.3267550954384,152.72,258.93,69.5455735987428,0.39,0.589,3.74
"CORONEL JOSÉ DIAS","Piauí",220285,60.9,6.46,2.91,13.73,6.93,154.55,217.63,40.8152701391135,131.75,200.41,52.1138519924099,0.386,0.546,4.42
"CORRENTE","Piauí",220290,71.17,6.27,2.31,36.43,15.14,247.55,387.5,56.5340335285801,236.06,378.39,60.2939930526137,0.474,0.642,10.74
"CRISTALÂNDIA DO PIAUÍ","Piauí",220300,74.45,6.39,3.94,22.69,7.84,148.04,213.57,44.2650634963523,138.62,204.49,47.5183956139085,0.416,0.573,3.84
"CRISTINO CASTRO","Piauí",220310,78.39,5.03,0.48,17.28,7.56,244.69,317.7,29.8377538926805,244.69,307.32,25.5956516408517,0.46,0.566,4.89
"CURIMATÁ","Piauí",220320,72.92,19.15,6.82,18.21,8.66,318.63,292.89,-8.07833537331702,267.37,285.52,6.78834573811571,0.489,0.607,6.8
"CURRAIS","Piauí",220323,72.03,0.56,0.56,14.69,5.82,104.14,175.2,68.2350681774534,98.52,168.68,71.2139667072676,0.339,0.542,2.23
"CURRALINHOS","Piauí",220325,74.63,1.44,0,10.38,4.21,89.27,199.47,123.445726447855,85.69,193.65,125.989030225231,0.341,0.555,2.23
"CURRAL NOVO DO PIAUÍ","Piauí",220327,86.47,0.82,0,7.38,4.2,162.64,192.83,18.5624692572553,137.89,186.24,35.0641815940242,0.35,0.527,3.15
"DEMERVAL LOBÃO","Piauí",220330,65.72,5.49,1.16,13.71,5.17,179.82,313.58,74.3854966077188,161.93,311.48,92.3547211758167,0.455,0.618,3.13
"DIRCEU ARCOVERDE","Piauí",220335,66.83,5.36,2.06,17.27,8.6,167.53,275.86,64.6630454247001,166.83,265.3,59.0241563267997,0.407,0.561,2.81
"DOM EXPEDITO LOPES","Piauí",220340,58.14,5.65,1.77,24.74,14.35,257.23,302.46,17.5834855965478,223.02,300.31,34.6560846560847,0.466,0.601,4.27
"DOMINGOS MOURÃO","Piauí",220342,83.31,1.54,0,14.35,5.42,102.54,247.05,140.93036863663,77.91,240.24,208.355795148248,0.338,0.55,3.33
"DOM INOCÊNCIO","Piauí",220345,66.21,1.56,0,12.56,6.21,128.76,181.1,40.6492699596148,126.55,177.27,40.0790201501383,0.279,0.549,1.64
"ELESBÃO VELOSO","Piauí",220350,62.23,10.05,4.08,18.27,7.01,152.64,285.57,87.0872641509434,142.9,283.38,98.3065080475857,0.404,0.58,4.68
"ELISEU MARTINS","Piauí",220360,65.14,13.34,2.24,25.43,13.72,155.09,372.13,139.944548326778,155.09,370.7,139.022503062738,0.449,0.595,7.08
"ESPERANTINA","Piauí",220370,72.78,5.01,1.96,9.9,4.62,168.45,298.19,77.0198872068863,167.88,293.39,74.7617345723136,0.42,0.605,3.86
"FARTURA DO PIAUÍ","Piauí",220375,74.55,2.13,0.42,10.86,5.61,160.86,193.36,20.2039040159145,154.2,186.85,21.1738002594034,0.37,0.548,3.79
"FLORES DO PIAUÍ","Piauí",220380,68.22,4.94,1.06,11.02,2.48,132.14,212.93,61.1397003178447,125.09,210.02,67.8951155168279,0.353,0.547,3.94
"FLORESTA DO PIAUÍ","Piauí",220385,66.85,0,0,16.57,7.5,107.53,218.45,103.152608574351,107.53,216.87,101.683251185716,0.295,0.538,3.22
"FLORIANO","Piauí",220390,59.22,10.44,5.34,38.75,21.06,341.43,538.55,57.7336496500015,337.42,536.3,58.9413786971726,0.558,0.7,9.61
"FRANCINÓPOLIS","Piauí",220400,69.96,3.29,0,9.69,6.5,140.71,212.3,50.8776917063464,93.42,206.73,121.290944123314,0.393,0.564,3.65
"FRANCISCO AYRES","Piauí",220410,69.18,5.44,0.55,14.57,8.3,133.76,270.63,102.325059808612,126.76,268.41,111.746607762701,0.391,0.577,2.25
"FRANCISCO MACEDO","Piauí",220415,65.39,0.86,0.86,15.16,4.54,125.94,278.98,121.518183261871,113.93,273.23,139.822698147986,0.356,0.553,3.11
"FRANCISCO SANTOS","Piauí",220420,56.53,9.21,4.71,20.31,10.22,189.37,332.39,75.5241062470296,186.24,330.49,77.453823024055,0.438,0.608,4.82
"FRONTEIRAS","Piauí",220430,64.94,10.09,1.93,25.01,14.37,231.48,384.97,66.308104371868,231.48,380.62,64.428892344911,0.421,0.619,6.74
"GEMINIANO","Piauí",220435,65.12,1.43,1.43,7.59,2.72,132.63,214.65,61.8412123953857,113.16,208.67,84.4026157652881,0.322,0.561,1.24
"GILBUÉS","Piauí",220440,82.6,7.06,3.32,14.61,5.71,182.3,319.79,75.4196379594076,170.7,285.45,67.2231985940246,0.411,0.548,5.56
"GUADALUPE","Piauí",220450,68.58,6.28,1.27,18.26,8.35,253.8,431.23,69.909377462569,234.59,426.79,81.9301760518351,0.495,0.65,5.02
"GUARIBAS","Piauí",220455,91.29,0,0,6.12,3.2,98.72,167.34,69.5097244732577,97.3,162.06,66.5570400822199,0.214,0.508,2.61
"HUGO NAPOLEÃO","Piauí",220460,66.58,2.87,0,21.9,4.78,109.78,221.69,101.940244124613,108.11,214.09,98.0297844787716,0.405,0.599,5.1
"ILHA GRANDE","Piauí",220465,74.56,2.96,1.33,11.02,3.44,130.63,224.55,71.8977264028171,128.82,221.81,72.1859959633597,0.405,0.563,4.19
"INHUMA","Piauí",220470,62.77,6.57,2.55,28.7,12.82,213.88,266.94,24.8083037217131,206.64,263.73,27.6277584204414,0.449,0.624,4.77
"IPIRANGA DO PIAUÍ","Piauí",220480,64.61,8.74,3.23,27.08,11.29,167.15,262.71,57.1702064014358,157.5,261.12,65.7904761904762,0.47,0.63,3.64
"ISAÍAS COELHO","Piauí",220490,78.93,5.48,1.84,21.41,7.12,110.35,413.79,274.979610330766,107.88,397.98,268.909899888765,0.36,0.582,4.05
"ITAINÓPOLIS","Piauí",220500,59.16,4.18,1.91,12.47,3.55,212.82,243.59,14.458227610187,203.34,237.76,16.927313858562,0.397,0.541,2.18
"ITAUEIRA","Piauí",220510,62.66,6.33,3.03,24.61,12.49,228.92,323.93,41.503582037393,228.12,321.64,40.9959670348939,0.444,0.583,3.08
"JACOBINA DO PIAUÍ","Piauí",220515,69.34,6.02,2.73,12.39,4.4,123.2,196.6,59.5779220779221,110.45,190.04,72.0597555454957,0.333,0.535,2.03
"JAICÓS","Piauí",220520,67.02,4.53,1.49,19.23,8.7,189.24,260.34,37.571337983513,166.91,254.28,52.3455754598287,0.385,0.524,5.27
"JARDIM DO MULATO","Piauí",220525,67.16,2.2,0,12.99,5.79,157.96,223.93,41.7637376551026,114.58,219.06,91.1851981148543,0.427,0.593,3.33
"JATOBÁ DO PIAUÍ","Piauí",220527,57.39,3.3,2.39,19.24,7.76,145.09,218.22,50.4031980150252,144.86,209.21,44.4222007455474,0.361,0.566,1.76
"JERUMENHA","Piauí",220530,71.67,6.51,2.16,23.89,6.47,148.97,278.62,87.0309458280191,132.56,275.19,107.59656004828,0.448,0.591,4.65
"JOÃO COSTA","Piauí",220535,67.3,0.74,0,18.66,7.17,133.35,197.91,48.413948256468,112.89,191.63,69.7493134910089,0.311,0.561,2.8
"JOAQUIM PIRES","Piauí",220540,76.89,0.88,0.26,7.64,4.64,126.58,172.81,36.5223574024332,124.92,163.33,30.7476785142491,0.364,0.522,2.39
"JOCA MARQUES","Piauí",220545,80.16,3.34,1.22,5.27,1.34,108.85,186.89,71.6949931097841,108.72,181.17,66.6390728476821,0.307,0.504,1.72
"JOSÉ DE FREITAS","Piauí",220550,68.64,5.48,1.41,16.79,7.13,161.19,321.67,99.5595260251877,157.48,316.27,100.831851663703,0.402,0.618,2.7
"JUAZEIRO DO PIAUÍ","Piauí",220551,74.9,0,0,17.17,6.56,114.68,210.6,83.6414370422044,103.52,206.61,99.5846213292118,0.329,0.57,4.51
"JÚLIO BORGES","Piauí",220552,78.21,3.63,1.42,8.11,3.16,105.45,185.2,75.6282598387861,81.82,179.61,119.518455145441,0.382,0.582,5.33
"JUREMA","Piauí",220553,69.41,0.9,0,3.86,2.32,126.02,201.66,60.0222186954452,113.55,191.96,69.0532804931748,0.348,0.555,2.21
"LAGOINHA DO PIAUÍ","Piauí",220554,64.77,16.3,6.04,7.53,4.04,125.52,267.17,112.850541746335,125.52,262.04,108.763543658381,0.457,0.597,3.14
"LAGOA ALEGRE","Piauí",220555,79.72,1.95,0,9.32,2.63,111.56,230.49,106.606310505558,111.56,227.89,104.275726066691,0.373,0.55,3.72
"LAGOA DO BARRO DO PIAUÍ","Piauí",220556,73.96,1.53,0,7.95,2.19,128.32,160.91,25.3974438902743,106.03,152.61,43.9309629350184,0.303,0.502,3.6
"LAGOA DE SÃO FRANCISCO","Piauí",220557,78.8,1.48,0.74,12.33,3.63,95.98,181.97,89.5915815794957,90.11,178.26,97.824880701365,0.312,0.529,3.31
"LAGOA DO PIAUÍ","Piauí",220558,69.65,0,0,2.33,0.94,116.78,247.87,112.253810584004,104.62,242.33,131.62875167272,0.383,0.583,3.48
"LAGOA DO SÍTIO","Piauí",220559,60.39,4.42,0.49,13.55,3.51,142.37,194.67,36.7352672613612,102.23,183.92,79.9080504744204,0.382,0.541,3.25
"LANDRI SALES","Piauí",220560,69.01,2.58,0.66,16.85,8,199.14,269.32,35.241538616049,173.88,266.01,52.9848171152519,0.451,0.584,2.92
"LUÍS CORREIA","Piauí",220570,69.85,1.55,0.41,10.5,4.22,157.06,256.73,63.4598242709792,142.52,236.9,66.2222845916363,0.348,0.541,1.73
"LUZILÂNDIA","Piauí",220580,74.17,2.83,0.75,13.75,6.22,147.55,252.02,70.8031175872585,145.77,245.02,68.0867119434726,0.38,0.545,3.61
"MADEIRO","Piauí",220585,87.93,3.5,1.47,9.31,3.21,99.01,157.16,58.7314412685587,99.01,150.89,52.3987476012524,0.362,0.563,3.88
"MANOEL EMÍDIO","Piauí",220590,69.16,9.2,4.74,27.37,14.01,136.63,229.75,68.1548708190002,130.66,222.62,70.3811418949946,0.442,0.573,6.07
"MARCOLÂNDIA","Piauí",220595,68.75,3.99,0,6.98,4.47,203.86,294.43,44.4275483174728,186.55,291.91,56.4781559903511,0.396,0.562,4.16
"MARCOS PARENTE","Piauí",220600,66.02,3.03,3.03,20.56,12.91,196.04,301.25,53.6676188532953,192.53,295.66,53.565678076144,0.466,0.59,4.43
"MASSAPÊ DO PIAUÍ","Piauí",220605,65.42,2.83,0.99,15.42,7.01,135.75,200.74,47.8747697974217,121.94,195.88,60.6363785468263,0.31,0.525,3.29
"MATIAS OLÍMPIO","Piauí",220610,78.9,0,0,7.41,2.23,125.43,209.5,67.0254325121582,118.77,204.46,72.1478487833628,0.376,0.562,3.49
"MIGUEL ALVES","Piauí",220620,88.57,1.22,0.64,8.72,4.19,114.11,224.33,96.5910086758391,112.85,220.05,94.9933540097475,0.338,0.539,2.66
"MIGUEL LEÃO","Piauí",220630,73.2,3.63,0,24.39,7.59,160.9,298.69,85.6370416407707,156.53,294.48,88.1300709129241,0.412,0.623,3.72
"MILTON BRANDÃO","Piauí",220635,80.87,0,0,4.21,2.22,87.89,159.29,81.2379110251451,64.91,154.73,138.376213218302,0.297,0.508,3.39
"MONSENHOR GIL","Piauí",220640,67.19,5.67,1.57,17.09,5.29,153.84,278.11,80.778731149246,149.87,273.95,82.7917528524721,0.44,0.615,4.17
"MONSENHOR HIPÓLITO","Piauí",220650,60.7,9.02,5.22,26.87,13.5,248.33,319.33,28.5909877984939,243.16,315.6,29.7910840598783,0.409,0.561,4.65
"MONTE ALEGRE DO PIAUÍ","Piauí",220660,84.82,5.74,1.9,23.47,9.61,135.86,224.56,65.2877962608568,126.56,217.23,71.6419089759798,0.387,0.578,4.6
"MORRO CABEÇA NO TEMPO","Piauí",220665,85.99,2.81,2.07,9.48,2.79,85.27,160.54,88.2725460302568,79.27,150.52,89.8826794499811,0.317,0.542,3.09
"MORRO DO CHAPÉU DO PIAUÍ","Piauí",220667,77.85,0,0,11.11,3.78,84.08,227.17,170.183158896289,84.08,225.37,168.042340627973,0.297,0.55,3.58
"MURICI DOS PORTELAS","Piauí",220669,81.23,0.83,0.83,6.17,0.95,118.38,177.95,50.3210001689475,110.73,167.87,51.6029982841145,0.312,0.53,3.34
"NAZARÉ DO PIAUÍ","Piauí",220670,73.86,2.3,1.25,18.17,8.72,117,236.35,102.008547008547,111.81,218.07,95.0362221625973,0.38,0.576,2.91
"NOSSA SENHORA DE NAZARÉ","Piauí",220675,59.58,5.3,4.19,8.07,3.65,118.41,258.96,118.697745122878,100.75,256.22,154.312655086849,0.373,0.586,2.32
"NOSSA SENHORA DOS REMÉDIOS","Piauí",220680,76.81,0.55,0.55,9.93,3.56,111.98,187.65,67.5745668869441,111.98,183.4,63.7792462939811,0.37,0.533,1.41
"NOVO ORIENTE DO PIAUÍ","Piauí",220690,64.58,4.5,0,11.77,7.82,178.37,243.87,36.7214217637495,161.75,240.65,48.7789799072643,0.39,0.562,2.27
"NOVO SANTO ANTÔNIO","Piauí",220695,65.63,0,0,19.32,5.42,74.95,229.46,206.150767178119,73.02,224.54,207.50479320734,0.246,0.528,2.62
"OEIRAS","Piauí",220700,65.83,9.17,4.28,23.8,12.45,218.74,383.12,75.1485782207187,216.14,376.95,74.4008513000833,0.445,0.634,6.51
"OLHO D'ÁGUA DO PIAUÍ","Piauí",220710,67.87,2.62,0,16.47,6.25,108.57,229.67,111.540941328175,108.11,225.8,108.861344926464,0.398,0.576,3.14
"PADRE MARCOS","Piauí",220720,62.92,5.62,1.78,15.22,5.61,132.03,225.07,70.468832841021,123.72,217.66,75.9295182670546,0.352,0.541,2.65
"PAES LANDIM","Piauí",220730,75.58,7.88,1.29,32.08,15.77,143,232.54,62.6153846153846,128.94,225.53,74.9108112300295,0.45,0.575,7.05
"PAJEÚ DO PIAUÍ","Piauí",220735,59.97,1.04,0,17.57,6.8,176.99,266.84,50.7655799762698,173.75,261.36,50.4230215827338,0.383,0.559,2.42
"PALMEIRA DO PIAUÍ","Piauí",220740,77.8,5.02,1.61,19.3,8,163.96,292.12,78.1654061966333,163.2,278.54,70.6740196078432,0.428,0.557,2.89
"PALMEIRAIS","Piauí",220750,76.4,1.16,0.58,5.82,3.01,145.16,204.57,40.9272526866906,122.9,197.04,60.3254678600488,0.37,0.562,1.62
"PAQUETÁ","Piauí",220755,61.67,0.47,0,15.02,3.98,102.68,204.66,99.3182703544994,99.94,202.6,102.721632979788,0.284,0.509,1.05
"PARNAGUÁ","Piauí",220760,89.44,3.18,2.71,16.78,7.07,145.97,217.91,49.2840994724944,133.82,211.44,58.0032879988044,0.362,0.575,4.62
"PARNAÍBA","Piauí",220770,62.35,8.3,3.7,26.67,13.89,345.46,482.12,39.5588490708041,340.35,479.58,40.9078889378581,0.546,0.687,8.76
"PASSAGEM FRANCA DO PIAUÍ","Piauí",220775,80.82,3.49,2.05,8.87,4.07,122.43,331.14,170.472923303112,121.7,323.31,165.661462612983,0.376,0.561,1.19
"PATOS DO PIAUÍ","Piauí",220777,71.23,4.23,2.33,19.92,9.1,168.61,218.96,29.8618112804697,141.68,215.75,52.2797854319593,0.364,0.563,3.83
"PAU D'ARCO DO PIAUÍ","Piauí",220779,72.67,0,0,5.16,1.95,96.29,172.7,79.3540346868834,72.03,167.01,131.861724281549,0.282,0.514,0.79
"PAULISTANA","Piauí",220780,68.86,4.28,1.17,17.38,9.96,200.9,337.43,67.9591836734694,161.35,327.06,102.702200185931,0.396,0.6,6.38
"PAVUSSU","Piauí",220785,70.97,0,0,10.4,4.48,121.11,199.94,65.0895879778714,118.48,193.61,63.4115462525321,0.333,0.526,2.3
"PEDRO II","Piauí",220790,77.17,2.04,1.45,16.77,7.55,133.58,276.7,107.141787692768,126.68,270.17,113.269655825703,0.385,0.571,5.01
"PEDRO LAURENTINO","Piauí",220793,71.64,2.87,0.74,10.57,4.94,108.8,162.15,49.0349264705882,100.88,157.24,55.8683584456781,0.325,0.562,2.7
"NOVA SANTA RITA","Piauí",220795,68.12,0,0,19.4,2.94,95.31,209.38,119.683139229881,93.21,202.99,117.777062546937,0.321,0.554,3.7
"PICOS","Piauí",220800,54.54,10.89,4.37,40.04,21.14,365.32,565.47,54.7875834884485,355.58,563.88,58.5803476011024,0.545,0.698,10.06
"PIMENTEIRAS","Piauí",220810,70.04,0.64,0.14,15.8,5.63,148.45,255.86,72.3543280565847,115,249.17,116.669565217391,0.376,0.566,3.05
"PIO IX","Piauí",220820,73.17,3.57,2.14,13.5,6.19,162.37,241.99,49.0361519985219,154.79,227.79,47.160669293882,0.367,0.564,4.09
"PIRACURUCA","Piauí",220830,72.81,3.49,1.68,16.89,8.59,165.97,291.38,75.5618485268422,147.79,286.63,93.9441098856486,0.431,0.596,3.77
"PIRIPIRI","Piauí",220840,66.21,5,1.65,18.85,7.27,221.83,384.44,73.3038813505838,212.53,380.67,79.1135369124359,0.455,0.635,5.08
"PORTO","Piauí",220850,92.69,1.29,0,9.15,2.26,110.66,229.85,107.708295680463,109.85,226.34,106.044606281293,0.374,0.549,4.1
"PORTO ALEGRE DO PIAUÍ","Piauí",220855,75.16,5.13,2.55,13.61,8.46,116.83,234.25,100.505007275529,114.28,228.65,100.078753937697,0.374,0.563,5.92
"PRATA DO PIAUÍ","Piauí",220860,79.65,7.81,1.81,11.8,5.73,139.82,217.69,55.6930339007295,137.75,212.64,54.3666061705989,0.418,0.565,2.27
"QUEIMADA NOVA","Piauí",220865,75.11,1.06,0.42,3.74,0.94,97.53,172.12,76.4790320926894,89.11,168.78,89.4063517001459,0.28,0.515,1.75
"REDENÇÃO DO GURGUÉIA","Piauí",220870,83.69,5.26,1.85,16.65,9.34,123.86,260.78,110.544162764411,123.32,255.92,107.525137852741,0.402,0.589,5.42
"REGENERAÇÃO","Piauí",220880,69.65,3.01,0,16.72,8,159.98,305.59,91.0176272034004,152.34,299.65,96.6981751345674,0.43,0.591,4.81
"RIACHO FRIO","Piauí",220885,81.71,6.02,0,12.19,3.88,149.57,171.16,14.4347128434847,149.4,161.99,8.42704149933066,0.395,0.541,4.4
"RIBEIRA DO PIAUÍ","Piauí",220887,75.37,2.1,0,16.69,2.79,92.17,197.3,114.060974286644,81.98,185.05,125.725786777263,0.285,0.52,3.47
"RIBEIRO GONÇALVES","Piauí",220890,80.85,5.53,1.28,11.25,5.1,236,281.42,19.2457627118644,236,274.79,16.4364406779661,0.439,0.601,6.31
"RIO GRANDE DO PIAUÍ","Piauí",220900,68.21,5.13,2.56,15.49,5.63,162.36,255.38,57.2924365607292,160.26,248.87,55.291401472607,0.414,0.572,2.48
"SANTA CRUZ DO PIAUÍ","Piauí",220910,58.46,6.99,4.05,23.29,14.19,200.92,285.15,41.9221580728648,194,278.49,43.5515463917526,0.445,0.601,6.46
"SANTA CRUZ DOS MILAGRES","Piauí",220915,68.81,1.4,0,6.84,1.29,131.49,211.5,60.8487337440109,114.58,208.49,81.9602024786176,0.392,0.577,4.76
"SANTA FILOMENA","Piauí",220920,85.91,2.88,1.14,5.93,1.13,163.33,225.3,37.941590644707,155.92,216.61,38.9238070805541,0.393,0.544,4.41
"SANTA LUZ","Piauí",220930,67.37,5.38,3.53,21.87,8.68,121.23,230.6,90.2169430009074,120.79,228.71,89.3451444656015,0.414,0.588,3.97
"SANTANA DO PIAUÍ","Piauí",220935,60.89,1.49,0,10.34,5.14,125.89,233.54,85.5111605369767,119.58,228.52,91.1021910018398,0.351,0.574,3.35
"SANTA ROSA DO PIAUÍ","Piauí",220937,67.94,1.03,0.15,19.14,9.54,163.98,230.39,40.4988413221125,143.5,229.29,59.7839721254355,0.352,0.567,3.37
"SANTO ANTÔNIO DE LISBOA","Piauí",220940,59.52,10.97,6.7,23.49,15.26,240.32,330.92,37.6997336884155,231.82,329.44,42.1102579587611,0.443,0.584,4.29
"SANTO ANTÔNIO DOS MILAGRES","Piauí",220945,73.7,10.46,1.49,21.42,5.77,103.47,214.2,107.016526529429,99.27,208.58,110.113830966052,0.444,0.619,5.54
"SANTO INÁCIO DO PIAUÍ","Piauí",220950,59.58,6.11,1.08,20.88,11.71,185.98,241.98,30.1107645983439,183,235.42,28.6448087431694,0.427,0.613,2.97
"SÃO BRAZ DO PIAUÍ","Piauí",220955,74.42,1.85,0,10,5.24,127.31,232.13,82.3344591940932,127.31,220.96,73.5606001099678,0.35,0.596,2.36
"SÃO FÉLIX DO PIAUÍ","Piauí",220960,65.47,9.67,9.67,16.37,11.26,169.12,309.92,83.2544938505204,163.27,309.48,89.5510504073008,0.481,0.61,3.61
"SÃO FRANCISCO DE ASSIS DO PIAUÍ","Piauí",220965,72.86,0,0,5.9,1,94.12,151.13,60.5716107097322,84.62,141.81,67.5844953911605,0.241,0.485,1.86
"SÃO FRANCISCO DO PIAUÍ","Piauí",220970,76.9,1.49,0.51,18.05,8.44,115.16,261.25,126.858284126433,106.14,256.79,141.935179951008,0.348,0.57,3.66
"SÃO GONÇALO DO GURGUÉIA","Piauí",220975,80.56,3.66,0,16.84,2.54,132.7,298.94,125.275056518463,128.97,281.43,118.2135380321,0.384,0.56,3.63
"SÃO GONÇALO DO PIAUÍ","Piauí",220980,68.01,12.32,5.67,24.22,8.01,131.2,233.23,77.7667682926829,130.66,227.37,74.0165314556865,0.502,0.616,7.18
"SÃO JOÃO DA CANABRAVA","Piauí",220985,67.72,1.9,0,23.21,9.65,171.15,235.26,37.4583698510079,120.82,229.34,89.8195662969707,0.366,0.559,2.98
"SÃO JOÃO DA FRONTEIRA","Piauí",220987,84.59,1.19,0,15.5,4.11,188.76,200.56,6.25132443314262,152.09,198.13,30.2715497402853,0.359,0.515,3.45
"SÃO JOÃO DA SERRA","Piauí",220990,65.92,1.32,0.57,11.69,2.7,112.97,243.06,115.154465787377,104.46,237.11,126.986406279916,0.364,0.582,4.64
"SÃO JOÃO DA VARJOTA","Piauí",220995,70.1,11.36,6.12,20.15,6.2,140.9,233.44,65.6777856635912,124.49,224.99,80.7293758534822,0.368,0.559,3.93
"SÃO JOÃO DO ARRAIAL","Piauí",220997,78.57,3.14,1.79,6.85,2.06,116.92,176.86,51.2658227848101,115.31,174.82,51.6087069638366,0.357,0.523,2.71
"SÃO JOÃO DO PIAUÍ","Piauí",221000,65.26,10.29,2.61,24.59,11.64,231.11,372.34,61.1094284107135,219.28,368.36,67.9861364465524,0.451,0.645,6.41
"SÃO JOSÉ DO DIVINO","Piauí",221005,69.89,0,0,5.88,2.35,109.14,217.65,99.4227597581089,104.71,214.48,104.832394231688,0.363,0.565,3.07
"SÃO JOSÉ DO PEIXE","Piauí",221010,74.98,2.86,0.83,24.5,14.47,155.38,251.86,62.0929334534689,139.66,242.73,73.8006587426608,0.408,0.573,4.62
"SÃO JOSÉ DO PIAUÍ","Piauí",221020,64.12,1.55,1.55,20.13,9.12,144.62,276.07,90.8933757433273,114.21,275.18,140.942124157254,0.357,0.552,2.99
"SÃO JULIÃO","Piauí",221030,59.77,7.27,1.58,20.63,7.47,218.21,325.81,49.3102974199166,187.92,321.2,70.923797360579,0.436,0.594,4.1
"SÃO LOURENÇO DO PIAUÍ","Piauí",221035,65.59,2.26,0,17.62,3.17,123.24,267.81,117.307692307692,123.24,261.24,111.976630963973,0.399,0.595,1.93
"SÃO LUIS DO PIAUÍ","Piauí",221037,69.48,7.56,5.14,35.38,13.99,141.84,206.81,45.8051325437112,118.32,202.89,71.4756592292089,0.39,0.554,2.46
"SÃO MIGUEL DA BAIXA GRANDE","Piauí",221038,65.85,0,0,14.5,3.91,104.57,257.06,145.825762647031,104.12,256.03,145.898962735305,0.342,0.563,2
"SÃO MIGUEL DO FIDALGO","Piauí",221039,75.01,0,0,18.77,2.6,109.26,202.5,85.337726523888,72.9,185.84,154.924554183813,0.348,0.535,3.06
"SÃO MIGUEL DO TAPUIO","Piauí",221040,70.66,0,0,7.45,2.97,119.1,194.28,63.1234256926952,113.58,189.01,66.4113400246522,0.342,0.556,1.59
"SÃO PEDRO DO PIAUÍ","Piauí",221050,71.18,6.28,3.19,12.68,6.79,150.11,258.81,72.4135633868496,149.13,249.23,67.1226446724334,0.437,0.595,4.8
"SÃO RAIMUNDO NONATO","Piauí",221060,61.37,6.42,3.13,25.74,13.41,232.6,411.01,76.7024935511608,231.3,406.2,75.6160830090791,0.497,0.661,6.32
"SEBASTIÃO BARROS","Piauí",221062,74.54,1.07,0.54,11.14,5.63,100.52,199.08,98.050139275766,98.02,189.25,93.0728422770863,0.338,0.536,3.4
