"name","group","id","Taxa de frequência líquida à pré-escola","% de 0 a 3 anos na escola","IDHM","Taxa de frequência líquida à pré-escola 2000","Renda per capita 2000","Renda per capita 2010","% Variação renda per capita 2000-2010","IDHM 2000","Razão de dependência 2000","% de 0 a 3 anos na escola"
"OLHO-D'ÁGUA DO BORGES","Rio Grande do Norte",240840,40.54,38.37,0.585,31.95,175.3,290.17,65.5276668568169,0.477,63.35,12.53
"OURO BRANCO","Rio Grande do Norte",240850,57.8,21.95,0.645,38.84,230.97,355.71,54.0070138979088,0.542,59.88,8.02
"PARANÁ","Rio Grande do Norte",240860,48.44,29.71,0.589,20.72,117.11,219.34,87.2939970967467,0.427,66.73,24.97
"PARAÚ","Rio Grande do Norte",240870,50.84,32.35,0.603,44.56,212.79,298.75,40.3966351802246,0.486,67.91,17.1
"PARAZINHO","Rio Grande do Norte",240880,74.74,22.04,0.549,33.45,149.33,234.75,57.2021696912877,0.385,84.2,4.92
"PARELHAS","Rio Grande do Norte",240890,36.69,28.2,0.676,35.55,240.61,390.54,62.3124558414031,0.54,68.33,16.25
"RIO DO FOGO","Rio Grande do Norte",240895,62.52,20.79,0.569,29.74,137.68,239.1,73.6635676932016,0.398,74.2,5.15
"PASSA E FICA","Rio Grande do Norte",240910,40.42,25.78,0.606,35.71,165.73,269.09,62.366499728474,0.445,74.69,11.05
"PASSAGEM","Rio Grande do Norte",240920,69.81,31.6,0.589,59.74,136.36,241.15,76.8480492813142,0.464,70.89,23.95
"PATU","Rio Grande do Norte",240930,59.35,18.86,0.618,53.19,302.24,331.98,9.83986236103759,0.515,60.13,19.9
"SANTA MARIA","Rio Grande do Norte",240933,59.91,33.83,0.59,36.2,164.08,251.9,53.5226718673818,0.408,71.73,17.98
"PAU DOS FERROS","Rio Grande do Norte",240940,51.23,27.25,0.678,41.95,338.63,504.82,49.0771638661666,0.584,58.83,14
"PEDRA GRANDE","Rio Grande do Norte",240950,56.91,28.37,0.559,38.62,144.71,210.52,45.4771612189897,0.419,85.63,13.33
"PEDRA PRETA","Rio Grande do Norte",240960,47.69,15.85,0.558,7.64,98.18,216.3,120.309635363618,0.388,82.03,4.71
"PEDRO AVELINO","Rio Grande do Norte",240970,61.17,36.64,0.583,31.81,233.26,289.53,24.1232958929949,0.469,76.65,16.75
"PEDRO VELHO","Rio Grande do Norte",240980,47.61,26.53,0.568,39.55,184.26,263.8,43.1672636491914,0.427,76.73,1.41
"PENDÊNCIAS","Rio Grande do Norte",240990,67.12,33.4,0.631,56.43,203.39,412.01,102.571414523821,0.493,62.64,23.95
"PILÕES","Rio Grande do Norte",241000,46.71,34.73,0.614,5.6,150.61,270.87,79.8486156297722,0.443,57.67,8.53
"POÇO BRANCO","Rio Grande do Norte",241010,39.76,11.48,0.587,37.63,134.19,263.9,96.6614501825769,0.426,80.95,7.39
"PORTALEGRE","Rio Grande do Norte",241020,21.41,35.88,0.621,34.46,166.71,296.9,78.0936956391338,0.452,65.3,24.18
"PORTO DO MANGUE","Rio Grande do Norte",241025,75.52,29.72,0.59,59.08,133.95,257.49,92.2284434490482,0.395,69.83,21.33
"PRESIDENTE JUSCELINO","Rio Grande do Norte",241030,63.68,18.52,0.563,52.67,241.8,247.77,2.46898263027295,0.444,77.93,9.02
"PUREZA","Rio Grande do Norte",241040,66.77,32.07,0.567,74.84,131.26,198.93,51.5541673015389,0.431,83.43,9.62
"RAFAEL FERNANDES","Rio Grande do Norte",241050,39.35,28.42,0.608,25.18,160.72,311.04,93.5291189646591,0.489,63.79,14.77
"RAFAEL GODEIRO","Rio Grande do Norte",241060,27.64,36.51,0.654,7.09,171.32,300.88,75.6245622227411,0.501,58.85,8.22
"RIACHO DA CRUZ","Rio Grande do Norte",241070,58.09,42.8,0.584,51.75,160.67,237.37,47.7375988050041,0.443,66.38,41.75
"RIACHO DE SANTANA","Rio Grande do Norte",241080,70.04,23.74,0.591,80,109.48,237.37,116.815856777494,0.441,67.2,20.59
"RIACHUELO","Rio Grande do Norte",241090,47.31,39.14,0.592,39.46,178.29,262.85,47.4283470749902,0.459,82.45,18.62
"RODOLFO FERNANDES","Rio Grande do Norte",241100,46.67,49.92,0.604,35.44,202.35,263.32,30.1309612058315,0.496,59.54,20.47
"TIBAU","Rio Grande do Norte",241105,54.34,32.05,0.635,33.58,229.53,396.51,72.7486603058424,0.503,58.58,26.83
"RUY BARBOSA","Rio Grande do Norte",241110,25.64,17.74,0.605,20.78,130.32,241.96,85.6660527931246,0.41,75.36,14.52
"SANTA CRUZ","Rio Grande do Norte",241120,45.95,23.39,0.635,28.44,216.51,327.61,51.3140270657245,0.513,71.76,6.54
"SANTANA DO MATOS","Rio Grande do Norte",241140,68,27.86,0.591,43.54,139.03,258.64,86.0317916996332,0.431,60.16,13.83
"SANTANA DO SERIDÓ","Rio Grande do Norte",241142,64.4,41.81,0.642,52.94,180.98,325.16,79.6662614653553,0.526,64.5,23.62
"SANTO ANTÔNIO","Rio Grande do Norte",241150,49.66,22.73,0.62,38.67,211.01,323.81,53.45718212407,0.483,71.8,12.98
"SÃO BENTO DO NORTE","Rio Grande do Norte",241160,64,33.09,0.555,33.44,189.5,231.17,21.9894459102902,0.458,74.66,24.85
"SÃO BENTO DO TRAIRÍ","Rio Grande do Norte",241170,33.13,19.29,0.595,40.71,127.55,210.78,65.2528420227362,0.445,82.04,11.13
"SÃO FERNANDO","Rio Grande do Norte",241180,44.14,29.04,0.608,38.66,192.97,316.21,63.864849458465,0.498,55.93,9.71
"SÃO FRANCISCO DO OESTE","Rio Grande do Norte",241190,48.68,24.07,0.628,31.41,174.86,298.15,70.5078348393,0.484,60.44,22.5
"SÃO GONÇALO DO AMARANTE","Rio Grande do Norte",241200,59.8,20.4,0.661,57.95,234.24,377.16,61.0143442622951,0.524,64.26,8.47
"SÃO JOÃO DO SABUGI","Rio Grande do Norte",241210,59.67,34.83,0.655,36.27,227.63,379.2,66.5861266089707,0.533,58.67,19.78
"SÃO JOSÉ DE MIPIBU","Rio Grande do Norte",241220,55.25,21.75,0.611,46.92,207.65,331.85,59.8121839634,0.494,70.71,11.11
"SÃO JOSÉ DO CAMPESTRE","Rio Grande do Norte",241230,63.47,27.88,0.615,22.42,174.45,267.55,53.3677271424477,0.448,77.56,9.25
"SÃO JOSÉ DO SERIDÓ","Rio Grande do Norte",241240,41.44,37.33,0.694,37.38,332.12,414.22,24.7199807298567,0.588,59.64,37.95
"SÃO MIGUEL","Rio Grande do Norte",241250,60.77,23.89,0.606,26.56,152.25,285.2,87.3234811165846,0.451,71.59,12.63
"SÃO MIGUEL DO GOSTOSO","Rio Grande do Norte",241255,54.52,27.62,0.591,46.07,117.2,257.1,119.368600682594,0.403,89.12,22.76
"SÃO PAULO DO POTENGI","Rio Grande do Norte",241260,52.77,35.88,0.622,53.1,213.26,303.74,42.4270843102317,0.475,71.62,15.85
"SÃO PEDRO","Rio Grande do Norte",241270,52.03,30.35,0.589,13.25,134.79,285.21,111.595815713332,0.392,67.52,10.03
"SÃO RAFAEL","Rio Grande do Norte",241280,83.77,17.57,0.611,42.62,212.51,309.77,45.7672580113877,0.469,62.82,2.76
"SÃO TOMÉ","Rio Grande do Norte",241290,41.01,30.82,0.585,44.11,157.64,268.71,70.4580055823395,0.432,76.93,11.07
"SÃO VICENTE","Rio Grande do Norte",241300,48.93,14.43,0.642,43.21,182.42,346.89,90.1600701677448,0.492,60.62,8.8
"SENADOR ELÓI DE SOUZA","Rio Grande do Norte",241310,50.02,18.39,0.583,26.47,136.79,207.76,51.8824475473353,0.434,81.58,9.86
"SENADOR GEORGINO AVELINO","Rio Grande do Norte",241320,47.56,26.36,0.57,48.99,198.8,234.85,18.1338028169014,0.486,71.18,10.51
"SERRA DE SÃO BENTO","Rio Grande do Norte",241330,55.75,18.88,0.582,57.83,103.86,247.06,137.87791257462,0.417,82.58,7.08
"SERRA DO MEL","Rio Grande do Norte",241335,62.63,18.75,0.614,74.71,171.39,284.48,65.9840130696074,0.463,62.24,3.03
"SERRA NEGRA DO NORTE","Rio Grande do Norte",241340,54.35,14.85,0.597,32.4,209.6,292.16,39.3893129770993,0.454,58.17,4.69
"SERRINHA","Rio Grande do Norte",241350,69.52,17.93,0.592,39.64,138.72,240.51,73.3780276816609,0.402,76.77,12.96
"SERRINHA DOS PINTOS","Rio Grande do Norte",241355,27.22,36.2,0.598,34.35,187.55,252.46,34.6094374833378,0.46,59.07,29.98
"SEVERIANO MELO","Rio Grande do Norte",241360,77.14,28.5,0.604,51.57,148.36,293.49,97.8228633054732,0.469,60.05,11.39
"SÍTIO NOVO","Rio Grande do Norte",241370,56.12,13.3,0.572,28.86,113.76,214.04,88.1504922644163,0.41,83.05,8.1
"TABOLEIRO GRANDE","Rio Grande do Norte",241380,77.33,33.27,0.612,45.96,180.01,277.54,54.1803233153714,0.491,60.9,13.86
"TAIPU","Rio Grande do Norte",241390,54.16,18.34,0.569,25.3,146.74,235.78,60.6787515333242,0.396,78.33,5.99
"TANGARÁ","Rio Grande do Norte",241400,55.9,19.03,0.608,33.62,149.45,270.47,80.9769153563065,0.454,74.23,9.69
"TENENTE ANANIAS","Rio Grande do Norte",241410,53.28,24,0.592,40.35,119.19,276.94,132.351707358,0.405,58.94,14.95
"TENENTE LAURENTINO CRUZ","Rio Grande do Norte",241415,55.17,31.01,0.623,39.15,175.65,259.72,47.8622260176488,0.462,66.62,23.42
"TIBAU DO SUL","Rio Grande do Norte",241420,57.42,18.92,0.645,49.95,259.97,523.75,101.465553717737,0.511,65.93,6.61
"TIMBAÚBA DOS BATISTAS","Rio Grande do Norte",241430,43.51,38.16,0.64,68.71,345.31,365.42,5.82375257015436,0.546,57.94,34.5
"TOUROS","Rio Grande do Norte",241440,58.8,20.68,0.572,34.47,168.07,264.4,57.3154042958291,0.404,77.1,9.5
"TRIUNFO POTIGUAR","Rio Grande do Norte",241445,43.83,30.42,0.602,33.66,154.61,294.09,90.2140870577582,0.393,71.87,22.46
"UMARIZAL","Rio Grande do Norte",241450,63.47,28.02,0.618,41.57,199.02,313.6,57.5721033062004,0.482,64.03,15.77
"UPANEMA","Rio Grande do Norte",241460,65.22,14.18,0.596,16.49,131.16,233.97,78.3851784080512,0.416,65.8,6.49
"VÁRZEA","Rio Grande do Norte",241470,57.22,24.22,0.626,38.2,167.23,289.33,73.0132153321772,0.437,71.05,5.84
"VENHA-VER","Rio Grande do Norte",241475,48.81,34.4,0.555,37.61,85.42,180.53,111.343947553266,0.334,79.07,14.44
"VERA CRUZ","Rio Grande do Norte",241480,53.66,11.37,0.587,66.77,230.53,258.12,11.9680735696005,0.466,74.49,8.49
"VIÇOSA","Rio Grande do Norte",241490,40.04,60.51,0.592,53.72,124.16,247.9,99.6617268041237,0.468,67.7,22.62
"VILA FLOR","Rio Grande do Norte",241500,56.03,35.1,0.576,53.82,299.32,262.96,-12.1475344113324,0.418,86.43,3.03
"ÁGUA BRANCA","Paraíba",250010,51.7,13.37,0.572,45.12,145.3,233.65,60.8052305574673,0.415,82.9,12.02
"AGUIAR","Paraíba",250020,77.01,23.98,0.597,22.37,115.43,407.32,252.871870397644,0.392,71.47,3.24
"ALAGOA GRANDE","Paraíba",250030,59.27,19.17,0.582,30.35,184.01,287.94,56.4806260529319,0.426,76.84,5.87
"ALAGOA NOVA","Paraíba",250040,69.02,11.04,0.576,38.3,164.27,272.81,66.0741462226822,0.389,75.12,6.61
"ALAGOINHA","Paraíba",250050,56.32,15.01,0.595,39.54,163.13,284.64,74.4866057745356,0.411,76.45,2.51
"ALCANTIL","Paraíba",250053,47.01,11.86,0.578,46.51,136.38,245.01,79.6524417069952,0.408,77.07,16.05
"ALGODÃO DE JANDAÍRA","Paraíba",250057,39.63,15.34,0.548,23.33,119.09,218.7,83.6426232261315,0.313,76.86,4.81
"ALHANDRA","Paraíba",250060,48.67,16.94,0.582,50.12,167.58,236.14,40.9118033178183,0.415,66.13,6.91
"SÃO JOÃO DO RIO DO PEIXE","Paraíba",250070,58.47,17.75,0.608,51.13,179.91,306.87,70.5686176421544,0.448,60.13,5.6
"AMPARO","Paraíba",250073,88.79,18.38,0.606,59.26,147.9,225.5,52.4678837052062,0.392,65.88,17.42
"APARECIDA","Paraíba",250077,40.6,10.9,0.578,18.83,207.5,271.98,31.0746987951807,0.425,61.83,6.8
"ARAÇAGI","Paraíba",250080,57.11,12.89,0.549,40.55,127.4,230.52,80.9419152276295,0.389,75.36,3.96
"ARARA","Paraíba",250090,52.98,9.01,0.548,45.73,151.84,276.67,82.2115384615385,0.387,76.06,5.17
"ARARUNA","Paraíba",250100,47.84,16.05,0.567,42.05,133.87,244.02,82.2813176962725,0.381,79.86,7.88
"AREIA","Paraíba",250110,36.53,15.22,0.594,21.93,179.98,319.92,77.753083675964,0.425,75.05,11.56
"AREIA DE BARAÚNAS","Paraíba",250115,17.23,5.36,0.562,36.27,126.9,270.54,113.191489361702,0.385,74.32,2.59
"AREIAL","Paraíba",250120,77.41,14.95,0.608,49.7,176.23,282.18,60.1202973387051,0.448,69.44,5.59
"AROEIRAS","Paraíba",250130,58.43,12.66,0.548,44.45,147.8,226.05,52.9431664411367,0.382,82.65,9.27
"ASSUNÇÃO","Paraíba",250135,51.78,32.32,0.609,30.19,178.82,336.67,88.2731238116542,0.406,68.47,3.69
"BAÍA DA TRAIÇÃO","Paraíba",250140,58.23,37.14,0.581,56.21,129.02,231.78,79.6465664238103,0.413,73.95,18.71
"BANANEIRAS","Paraíba",250150,48.87,15.51,0.568,39.75,146.15,253.3,73.3150872391379,0.401,74.24,7.89
"BARAÚNA","Paraíba",250153,62.14,17.96,0.558,44.09,153.98,211.36,37.2645798155605,0.398,73.55,17.2
"BARRA DE SANTANA","Paraíba",250157,51.88,11.54,0.567,47.63,119.95,211.08,75.9733222175907,0.407,75.49,6.67
"BARRA DE SANTA ROSA","Paraíba",250160,62.9,10.78,0.562,35.53,135.71,233.51,72.065433645273,0.382,73.63,5.55
"BARRA DE SÃO MIGUEL","Paraíba",250170,64.25,26.28,0.572,28.65,182.14,302.44,66.0480948720764,0.429,75.7,13.74
"BAYEUX","Paraíba",250180,56,21.94,0.649,42.63,233.25,376.74,61.5176848874598,0.505,56.84,8.7
"BELÉM","Paraíba",250190,70.11,14.09,0.592,35.38,167.03,256.2,53.3856193498174,0.424,69.77,11.31
"BELÉM DO BREJO DO CRUZ","Paraíba",250200,58.27,21.45,0.578,26.73,138.93,245.71,76.858849780465,0.423,63.39,10.84
"BERNARDINO BATISTA","Paraíba",250205,67.56,11.84,0.558,57.03,133.24,211.04,58.3908736115281,0.391,89.7,0
"BOA VENTURA","Paraíba",250210,39.12,15.52,0.599,32.29,129.79,271.06,108.845057400416,0.386,67.21,4.02
"BOA VISTA","Paraíba",250215,60.35,20.22,0.649,41.56,243.81,314.11,28.8339280587343,0.498,65,2.48
"BOM JESUS","Paraíba",250220,55.77,6.11,0.597,32.09,148.53,303.29,104.194438833906,0.415,68.17,0
"BOM SUCESSO","Paraíba",250230,51.99,3.99,0.592,25.59,155.3,257.9,66.0656793303284,0.46,57.1,1.54
"BONITO DE SANTA FÉ","Paraíba",250240,53.05,16.01,0.574,14.37,169.54,267.09,57.5380441193819,0.413,72.88,2.23
"BOQUEIRÃO","Paraíba",250250,39.69,20.55,0.607,36.16,177.72,319.11,79.5577312626604,0.43,70.52,4.35
"IGARACY","Paraíba",250260,59.52,12.08,0.61,20.6,144.14,286.68,98.8899680865825,0.408,67.83,2.76
"BORBOREMA","Paraíba",250270,59.4,17.95,0.558,34.04,166.66,236.01,41.6116644665787,0.428,75.19,10.66
"BREJO DO CRUZ","Paraíba",250280,57.13,16.31,0.597,39.77,208.23,287.2,37.9244105076118,0.469,64.97,7.55
"BREJO DOS SANTOS","Paraíba",250290,49.82,9.52,0.619,17.07,183.07,267.6,46.1735947998034,0.451,64.81,0
"CAAPORÃ","Paraíba",250300,49.99,15.52,0.602,32.9,173.23,268.46,54.9731570744097,0.407,68.41,9.84
"CABACEIRAS","Paraíba",250310,72.65,9,0.611,74.08,187.65,283.93,51.3082867039702,0.47,67.45,8.72
"CABEDELO","Paraíba",250320,62.11,33.23,0.748,53.18,611.5,1036.21,69.4538021259199,0.599,52.99,11.67
"CACHOEIRA DOS ÍNDIOS","Paraíba",250330,50.78,15.84,0.587,36.61,146.09,301.77,106.56444657403,0.394,72.26,1.55
"CACIMBA DE AREIA","Paraíba",250340,63.62,13.01,0.596,52.87,133.23,249.79,87.4878030473617,0.413,64.02,3.78
"CACIMBA DE DENTRO","Paraíba",250350,58.3,12.73,0.564,28.2,123.96,246.21,98.620522749274,0.372,84.62,4.33
"CACIMBAS","Paraíba",250355,61.41,4.72,0.523,60.85,78.85,181.17,129.765377298668,0.312,92.71,0.38
"CAIÇARA","Paraíba",250360,72.55,28.64,0.592,45.61,147.99,294.68,99.1215622677208,0.425,74.95,6.45
"CAJAZEIRAS","Paraíba",250370,56.11,15.33,0.679,42.4,296.35,511.56,72.6202125864687,0.528,59.21,7.64
"CAJAZEIRINHAS","Paraíba",250375,49.99,26.95,0.55,23.21,134.98,205.12,51.9632538153801,0.357,69.22,0
"CALDAS BRANDÃO","Paraíba",250380,68.94,13.31,0.568,45.84,135.39,264.06,95.0365610458675,0.38,73.92,3.8
"CAMALAÚ","Paraíba",250390,48.37,27.77,0.567,38.65,145.33,242.92,67.1506227207046,0.405,73.82,15.13
"CAMPINA GRANDE","Paraíba",250400,66.35,28.48,0.72,54.95,449.24,630.03,40.2435223933755,0.601,56.31,14.9
"CAPIM","Paraíba",250403,69.19,12.02,0.533,58.08,121.73,203.67,67.3129056107779,0.33,76.45,0.61
"CARAÚBAS","Paraíba",250407,50.09,20.93,0.585,15.72,164.66,296.38,79.9951415037046,0.44,71.09,12.33
"CARRAPATEIRA","Paraíba",250410,80.35,16.15,0.603,75,160.62,214.54,33.5699165732785,0.433,73.74,0.81
"CASSERENGUE","Paraíba",250415,61.19,5.69,0.514,26.01,92.01,171.37,86.2514944027823,0.305,80.29,0
"CATINGUEIRA","Paraíba",250420,68.97,5.48,0.574,39.31,149.33,249.16,66.8519386593451,0.398,69.53,1.66
"CATOLÉ DO ROCHA","Paraíba",250430,55.34,10.18,0.64,31.97,220.03,371.92,69.0314957051311,0.495,59.84,2.78
"CATURITÉ","Paraíba",250435,58.67,16.71,0.623,28.47,170.16,371.05,118.059473436765,0.46,66.39,1.36
"CONCEIÇÃO","Paraíba",250440,52.07,11.25,0.592,41.74,154.56,290.63,88.0370082815735,0.439,65.25,4.89
"CONDADO","Paraíba",250450,75.13,12.59,0.594,34.68,155.14,282.25,81.9324481113833,0.428,63.85,1.36
"CONDE","Paraíba",250460,56.56,17.92,0.618,24.79,198.34,316.81,59.7307653524251,0.422,68.62,6.84
"CONGO","Paraíba",250470,72.66,30.67,0.581,26.36,161.03,263.84,63.845246227411,0.441,68.77,9.5
"COREMAS","Paraíba",250480,56.16,13.79,0.592,46.01,168.34,291.3,73.0426517761673,0.424,65.61,8.93
"COXIXOLA","Paraíba",250485,73.23,0,0.641,20.71,171.16,306.15,78.8677261042299,0.432,66.37,1.95
"CRUZ DO ESPÍRITO SANTO","Paraíba",250490,59.51,10.4,0.552,27.98,152.15,217.47,42.9313177785081,0.406,67.77,4.91
"CUBATI","Paraíba",250500,53.63,9.89,0.566,31.4,177.64,237.71,33.815582076109,0.41,72.37,2.21
"CUITÉ","Paraíba",250510,56.83,23.66,0.591,47.27,173.87,284.57,63.6682578938287,0.432,70.37,8.14
"CUITEGI","Paraíba",250520,61.77,15.37,0.57,33.74,142.5,265.78,86.5122807017544,0.408,81.58,8.96
"CUITÉ DE MAMANGUAPE","Paraíba",250523,58.92,8.8,0.524,23.94,147.78,214.92,45.4323995127893,0.328,75.27,5.18
"CURRAL DE CIMA","Paraíba",250527,55.48,8.5,0.529,32.82,113.37,214.4,89.1152862309253,0.308,81.8,2.41
"CURRAL VELHO","Paraíba",250530,51.93,39.48,0.606,29.25,127.83,362.28,183.4076507862,0.41,70.08,31.78
"DAMIÃO","Paraíba",250535,37.76,7.65,0.521,8.09,90.25,182.89,102.648199445983,0.295,86.13,0.43
"DESTERRO","Paraíba",250540,69.67,26.58,0.58,29.4,134.83,247.16,83.3123192167915,0.385,72.94,11.01
"VISTA SERRANA","Paraíba",250550,59.01,0,0.566,38.24,254.5,251.49,-1.18271119842829,0.44,63.23,4.86
"DIAMANTE","Paraíba",250560,58.22,19.45,0.593,35,122.26,264.08,115.998691313594,0.423,71.84,11.85
"DONA INÊS","Paraíba",250570,29.62,7.22,0.545,12.36,118.56,208.12,75.5398110661269,0.31,84.56,4.2
"DUAS ESTRADAS","Paraíba",250580,68.2,12.29,0.603,55.96,160.36,269.85,68.2776253429783,0.409,78.49,22.29
"EMAS","Paraíba",250590,44.39,16.08,0.595,27.63,121.09,251.41,107.62242959782,0.405,69.96,4.9
"ESPERANÇA","Paraíba",250600,46.89,10.73,0.623,30.2,207.9,330.66,59.0476190476191,0.474,65.81,2.54
"FAGUNDES","Paraíba",250610,58.24,17.08,0.56,38.97,132.14,235.02,77.856818525806,0.403,83.55,9.97
"FREI MARTINHO","Paraíba",250620,41.88,14.42,0.641,30.64,181.91,405.38,122.846462536419,0.454,64.03,14.47
"GADO BRAVO","Paraíba",250625,50.4,9.25,0.513,46.39,103.33,170.29,64.8020903900126,0.35,82.7,2.39
"GUARABIRA","Paraíba",250630,65.96,22.82,0.673,42.51,260.25,430.83,65.5446685878963,0.516,63.06,10.32
"GURINHÉM","Paraíba",250640,51.67,16.15,0.556,30.96,142.07,235.88,66.030829872598,0.371,70.56,6.34
"GURJÃO","Paraíba",250650,70.38,23.51,0.625,64.72,189.83,288.53,51.9938892693462,0.484,69.75,25.13
"IBIARA","Paraíba",250660,53.68,18.29,0.586,27.97,128.85,242.08,87.8773767947226,0.425,66.22,8.06
"IMACULADA","Paraíba",250670,51.94,6.12,0.557,17.83,101.74,208.83,105.258502064085,0.338,79.49,2.54
"INGÁ","Paraíba",250680,49.49,14.44,0.592,32,169.48,282.85,66.8928487137126,0.423,75.27,3.62
"ITABAIANA","Paraíba",250690,74.41,20.48,0.613,51.66,203.22,319.34,57.1400452711347,0.466,64.62,7.93
"ITAPORANGA","Paraíba",250700,62.12,23.22,0.615,48.78,209.61,349.02,66.5092314297982,0.489,61.86,16.52
"ITAPOROROCA","Paraíba",250710,55.94,16.05,0.564,25.59,170.75,235.44,37.8857979502196,0.394,72.19,4.12
"ITATUBA","Paraíba",250720,73.67,14.89,0.562,50.83,120.89,244.16,101.968731905038,0.387,74.44,7.2
"JACARAÚ","Paraíba",250730,68.06,5.53,0.558,30.09,141.23,250.76,77.5543439779084,0.367,74.35,4.39
"JERICÓ","Paraíba",250740,69.79,14.31,0.603,48.69,174.78,290.17,66.0201396040737,0.452,65.17,7.01
"JOÃO PESSOA","Paraíba",250750,58.14,28.41,0.763,52.75,662.85,964.82,45.5563098740288,0.644,49.87,15.45
"JUAREZ TÁVORA","Paraíba",250760,59.01,12.83,0.579,37.32,169.79,236.56,39.325048589434,0.412,71.48,3.99
"JUAZEIRINHO","Paraíba",250770,42.81,12.66,0.567,34.05,150.21,255.68,70.2150322881299,0.409,73,8.46
"JUNCO DO SERIDÓ","Paraíba",250780,59.44,10.69,0.617,51.77,148.18,280.15,89.0606019705763,0.432,67.17,5.08
"JURIPIRANGA","Paraíba",250790,74.22,17.62,0.548,35.07,155.84,235.6,51.1806981519507,0.387,72.08,5.47
"JURU","Paraíba",250800,52.92,11.51,0.57,47.49,126.73,247.78,95.518030458455,0.381,77.07,6.05
"LAGOA","Paraíba",250810,47.66,6.87,0.563,15.83,140.03,219.92,57.0520602727987,0.398,65.5,2.34
"LAGOA DE DENTRO","Paraíba",250820,53.27,17.26,0.57,55.27,140.1,228.8,63.3119200571021,0.418,80.35,10.67
"LAGOA SECA","Paraíba",250830,72,19.9,0.627,57.23,220.07,380.73,73.0040441677648,0.461,66.42,6.38
"LASTRO","Paraíba",250840,77.02,11.91,0.533,9.13,108.72,219.67,102.051140544518,0.403,57.32,0.91
"LIVRAMENTO","Paraíba",250850,49.72,6.41,0.566,21.59,115.09,207.73,80.493526805109,0.392,78.74,2.82
"LOGRADOURO","Paraíba",250855,72.14,18.83,0.583,66.93,145.19,236.33,62.7729182450582,0.429,76.97,13.09
"LUCENA","Paraíba",250860,61.37,18.39,0.583,14.16,157.15,289.29,84.0852688514159,0.391,66.27,1.79
"MÃE D'ÁGUA","Paraíba",250870,37.06,24.59,0.542,32.03,106.07,202.88,91.269916093146,0.357,72.8,24.67
"MALTA","Paraíba",250880,74.35,18.77,0.642,50.05,211.34,378.53,79.1094918141383,0.477,70.52,17.73
"MAMANGUAPE","Paraíba",250890,67.16,16.28,0.585,44.01,198.76,305.46,53.6828335681224,0.424,68.14,5.78
"MANAÍRA","Paraíba",250900,58.49,7.42,0.543,49.12,119.36,225.93,89.2845174262735,0.375,79.64,9.02
"MARCAÇÃO","Paraíba",250905,69.23,17.73,0.529,51.18,98.17,209.46,113.364571661404,0.341,83.74,7.14
"MARI","Paraíba",250910,65.64,16.02,0.548,38.84,177.75,250.22,40.7707454289733,0.394,68.14,5
"MARIZÓPOLIS","Paraíba",250915,55.81,7.01,0.608,20.98,168.92,299.15,77.0956665877338,0.412,60.06,2.98
"MASSARANDUBA","Paraíba",250920,72.36,14.55,0.567,43.54,155.26,247.98,59.7191807290996,0.408,77.9,6.71
"MATARACA","Paraíba",250930,75.17,15.17,0.536,44.99,150.36,219.95,46.2822559191274,0.385,75.02,13.27
"MATINHAS","Paraíba",250933,43.86,9.18,0.541,47.04,137.42,217.6,58.3466744287586,0.397,78.98,6.61
"MATO GROSSO","Paraíba",250937,60.74,8.23,0.565,18.44,149.13,271.56,82.0961577147455,0.364,68.66,3.29
"MATURÉIA","Paraíba",250939,51.4,13.25,0.572,36.32,112.72,230.63,104.604329311568,0.341,77.06,3.14
"MOGEIRO","Paraíba",250940,46.85,13.99,0.574,37.03,132.42,227.05,71.4620148013895,0.391,77.99,6.45
"MONTADAS","Paraíba",250950,78.96,4.58,0.59,55.46,145.44,238.17,63.7582508250825,0.449,68.82,9.59
"MONTE HOREBE","Paraíba",250960,70.2,2.02,0.587,27.39,146.18,292.96,100.410452866329,0.426,76.18,0
"MONTEIRO","Paraíba",250970,60.09,18.19,0.628,31.98,224.67,392.05,74.5003783326657,0.452,65.51,3.4
"MULUNGU","Paraíba",250980,65.56,6.83,0.565,25.73,156.11,242.9,55.5954134904875,0.402,69.68,4.5
"NATUBA","Paraíba",250990,57.16,15.28,0.541,29.39,130.95,198.68,51.7220313096602,0.378,83.43,5.06
"NAZAREZINHO","Paraíba",251000,45.06,8.55,0.562,49.1,116.5,213.53,83.2875536480687,0.394,61.16,0.29
"NOVA FLORESTA","Paraíba",251010,66.39,18.03,0.601,34.34,165.7,287.45,73.4761617380809,0.423,74.45,6.01
"NOVA OLINDA","Paraíba",251020,50.65,21.72,0.573,29.14,118.2,255.69,116.319796954315,0.382,74.99,6.21
"NOVA PALMEIRA","Paraíba",251030,55.66,14.62,0.595,45.83,156.73,272.29,73.7318956166656,0.425,59.08,4.97
"OLHO D'ÁGUA","Paraíba",251040,62.94,5.72,0.572,42.34,99.51,220.96,122.048035373329,0.39,71.54,4.06
"OLIVEDOS","Paraíba",251050,61.53,7.79,0.603,47.21,192.94,217.32,12.6360526588577,0.441,65.58,3.79
"OURO VELHO","Paraíba",251060,39.94,29.99,0.614,38.56,171.46,305.23,78.018196663945,0.461,64.99,11.29
"PARARI","Paraíba",251065,24.4,12.98,0.584,52.1,175.59,300.27,71.0063215445071,0.441,65.55,11.73
