"name","id","Taxa de desocupação - 18 anos ou mais 2010","Taxa de desocupação - 18 a 24 anos 2010","Taxa de desocupação - 25 a 29 anos 2010","IDHM 1991","IDHM 2000","IDHM 2010","IDHM Renda 1991","IDHM Renda 2000","IDHM Renda 2010","% de 0 a 5 anos na escola 2010","% de 18 a 24 anos na escola 2010","% de 25 a 29 anos na escola 2010","Taxa de frequência bruta à pré-escola 2010","Taxa de frequência bruta ao superior 2010","Taxa de frequência líquida à pré-escola 2010","Taxa de frequência líquida ao superior 2010","Renda per capita 1991","Renda per capita 2000","Renda per capita 2010",,,,,,,,
"Adrianópolis",4100202,4.67,9.91,13.08,0.4,542,667,528,539,644,24,24.24,11.08,28.68,23,28.68,7.96,214.45,228.71,440.79,,,,,,,,
"Adustina",2900355,6.99,13.75,6.21,206,347,546,424,492,526,27,22.97,8.44,54.4,5.8,47.9,3.27,112.28,171.39,211.37,,,,,,,,
"Afogados da Ingazeira",2600104,7.81,15.5,10.54,383,518,657,474,571,623,38,22.95,10.93,71.74,14.29,60.42,7.83,152.5,280.17,386.56,,,,,,,,
"Afonso Bezerra",2400307,11.1,25.06,13.57,343,456,585,415,508,0.56,46,28.45,6.8,81.01,16.71,67.65,7.92,106.02,188.57,261.3,,,,,,,,
"Afonso Cláudio",3200102,3.64,5.4,4.46,386,553,667,524,612,661,42,13.66,5.61,54.92,15.81,44.93,6.59,209.14,359.81,489.59,,,,,,,,
"Afonso Cunha",2100105,12.47,21.21,18.94,278,337,529,349,384,471,42,33.93,17.07,50.24,13.57,46.15,6.56,70.12,87.25,149.78,,,,,,,,
"Afrânio",2600203,6.5,8.94,7.58,263,386,588,401,461,542,34,31.88,7.02,74.55,15.84,68.62,8.43,97.02,140.58,233.59,,,,,,,,
"Afuá",1500305,12.24,20.2,14.77,0.25,0.33,489,459,468,485,24,36.72,22.42,34.94,14.74,29.27,4.18,139.09,147.25,163.98,,,,,,,,
"Agrestina",2600302,6.31,11.45,7.84,305,436,592,478,534,581,49,33.39,11.66,89.86,9.66,73.79,4.58,156.31,222.12,297.02,,,,,,,,
"Agricolândia",2200103,4,8.28,5.64,379,447,599,363,428,0.55,42,29.42,11.67,44.66,19.76,39.61,7.55,76.42,115.07,245.68,,,,,,,,
"Agrolândia",4200200,2,3.86,1.33,458,593,725,578,633,727,53,17.35,5.66,67.95,16.01,61.38,9.86,291.07,411.89,739.1,,,,,,,,
"Agronômica",4200309,1.11,3.16,1.92,431,602,741,573,668,774,45,15.77,6.06,62.06,17.75,51.24,9.87,282.4,511.95,985.65,,,,,,,,
"Água Azul do Norte",1500347,14.33,21.71,13.73,208,376,564,489,565,563,37,28.49,10.03,29.28,2.31,24.1,0.81,167.45,269.22,266.02,,,,,,,,
"Água Boa",3100609,4.54,7.33,7.1,256,451,576,442,548,594,22,17.11,7.83,28.74,8.77,26.9,3.64,124.94,242.11,322.12,,,,,,,,
"Água Boa",5100201,3.67,8.98,1.85,426,603,729,617,718,723,54,34.22,19.74,73.4,30.83,60.65,15.49,371.2,695.97,720.74,,,,,,,,
"Água Branca",2200202,6.43,12.92,7.34,0.42,506,639,465,518,0.6,52,32.57,17.28,101.48,25.08,71.01,9.42,144.59,201.45,335.63,,,,,,,,
