"name","id","Taxa de desocupação - 18 anos ou mais 2010","Taxa de desocupação - 18 a 24 anos 2010","Taxa de desocupação - 25 a 29 anos 2010","IDHM 1991","IDHM 2000","IDHM 2010","IDHM Renda 1991","IDHM Renda 2000","IDHM Renda 2010","% de 0 a 5 anos na escola 2010","% de 18 a 24 anos na escola 2010","% de 25 a 29 anos na escola 2010","Taxa de frequência bruta à pré-escola 2010","Taxa de frequência bruta ao superior 2010","Taxa de frequência líquida à pré-escola 2010","Taxa de frequência líquida ao superior 2010","Renda per capita 1991","Renda per capita 2000","Renda per capita 2010",,,,,,,,
"Bugre",3109253,6.68,11.56,9.13,259,464,627,429,502,602,23,16.75,8.62,54.71,10.81,51.1,8.02,115.55,181.64,338.39,,,,,,,,
"Buíque",2602803,7.25,15.33,10.77,275,377,527,411,434,497,23,27.69,9.46,48.26,4.51,42.34,2.45,103.34,119.37,176.76,,,,,,,,
"Bujari",1200138,3.7,12.21,3.08,267,0.46,589,513,546,603,36,24.32,8.26,45.23,15.71,36.69,5.79,194.84,238.86,340.95,,,,,,,,
"Bujaru",1501907,3.45,6.47,1.89,336,395,552,476,461,495,34,29.29,13.51,56.96,4.9,46.19,1.85,154.48,140.75,174.18,,,,,,,,
"Buri",3508009,4.22,8.17,5.93,379,542,667,0.57,606,642,37,12.81,4.75,65.82,14.35,61.35,6.3,277.3,347.33,435.15,,,,,,,,
"Buritama",3508108,6.69,12.11,9.15,531,0.66,763,0.62,689,736,45,24.72,5.51,78.35,29.16,74.34,19.85,378.87,581.57,779.78,,,,,,,,
"Buriti",2102200,7.61,14.38,10.23,0.24,379,548,407,418,479,48,22.61,6.73,80.01,6.32,55.86,1.66,100.92,107.6,157.21,,,,,,,,
"Buriti Alegre",5203906,3.32,6.79,2.29,493,589,0.71,626,642,0.7,42,31.54,14.06,56.59,27.25,47.82,16.91,393.38,433.7,625.26,,,,,,,,
"Buriti Bravo",2102309,6.17,14.31,8.28,308,395,0.59,429,0.44,539,44,24.26,14.48,81.32,8.28,61.07,3.35,115.63,123.43,229.21,,,,,,,,
"Buriticupu",2102325,9.62,17.62,10.43,237,342,556,442,513,533,33,27.23,8.84,58.69,3.57,46.96,1.83,125.48,194.87,220.64,,,,,,,,
"Buriti de Goiás",5203939,2.44,4.19,3.94,401,0.53,687,486,552,707,28,19.94,5.79,84.3,28.04,55.88,16.13,164.77,248.59,650.67,,,,,,,,
"Buriti dos Lopes",2202000,8.44,19.74,9.29,227,382,565,398,464,544,42,33.07,18.82,56.35,16.11,43.37,6.15,94.93,143.81,236.13,,,,,,,,
"Buriti dos Montes",2202026,5.35,14.68,7.49,194,368,574,321,443,527,65,35.79,16.45,71.14,16.98,54.81,10.17,58.97,125.97,212.72,,,,,,,,
"Buriti do Tocantins",1703800,13.57,27.27,10.63,269,462,627,405,467,575,38,21.4,9.07,62.25,13.64,55.45,2.68,99.71,145.99,287.05,,,,,,,,
"Buritinópolis",5203962,11.36,23.58,11.53,261,433,704,407,431,727,46,17.04,5.1,56.48,4.27,53.37,1.67,100.65,116.72,735.72,,,,,,,,
"Buritirama",2904753,9.44,13.36,10.34,193,335,565,349,374,504,37,35.81,10.01,48.55,6.97,41.52,1.74,70.26,82.03,184.53,,,,,,,,
"Buritirana",2102358,5.26,12.74,6.45,0.19,376,583,385,405,0.54,46,25.89,9.41,68.89,10.02,42.25,2.54,87.91,99.74,230.11,,,,,,,,
"Buritis",1100452,4.88,8.12,4.99,325,415,616,474,0.66,0.65,16,19.9,8.15,30.99,11.19,29.82,3.32,152.66,485.88,458.05,,,,,,,,
"Buritis",3109303,7.05,9.77,9.35,377,566,672,497,661,666,31,27.84,8.33,50.77,18.03,47.56,9.26,175.78,488.75,505.59,,,,,,,,
"Buritizal",3508207,4.14,9.72,4.24,522,608,735,616,649,743,57,36.3,9.36,72.19,35.03,66.81,23.24,369.89,453.19,817.16,,,,,,,,
"Buritizeiro",3109402,11.1,20.48,13.66,326,497,624,478,524,603,26,20.35,10.89,60.58,11.45,53.98,5.01,157.07,208.76,340.72,,,,,,,,
"Butiá",4302709,13.79,26.62,16.77,455,579,689,576,641,691,26,27.89,15.5,53.8,25.13,42.71,11.06,287.91,432.61,590.45,,,,,,,,
"Caapiranga",1300839,4.83,11.21,6.2,258,403,569,482,472,544,39,30.32,17.25,43.99,6.24,29.34,1.36,160.79,150.83,235.49,,,,,,,,
"Caaporã",2503001,12.31,25.69,16.05,278,407,602,416,494,565,39,28.61,8.91,70.81,8.71,49.99,4.09,106.68,173.23,268.46,,,,,,,,
"Caarapó",5002407,4.98,8.93,7.01,422,548,692,592,603,676,31,27.06,7.93,47.62,25.64,39.41,17.29,317.58,341.75,537.01,,,,,,,,
"Caatiba",2904803,2.79,5.66,4.96,262,348,561,463,0.45,579,37,25.26,7.24,55.99,5.47,47.1,3.14,142.55,131.52,293.78,,,,,,,,
"Cabaceiras",2503100,7.15,18.8,8.02,352,0.47,611,452,507,574,33,27.14,17,83.93,18.07,72.65,7,133.54,187.65,283.93,,,,,,,,
"Cabaceiras do Paraguaçu",2904852,5.2,9.58,6.4,0.24,389,581,354,452,525,49,29.63,8.81,90.65,10.74,73.54,4.59,72.51,133.14,209.45,,,,,,,,
"Cabeceira Grande",3109451,8.31,18.06,8.79,352,523,648,531,574,638,49,20.02,11.58,65.23,19.4,56.42,7.78,218.18,283.91,424.47,,,,,,,,
"Cabeceiras",5204003,5.46,14.79,4.27,392,546,668,528,579,637,29,19.88,8.49,52.75,16.25,50.37,5.44,213.56,293.23,420.47,,,,,,,,
"Cabeceiras do Piauí",2202059,5.39,15.3,3.98,0.21,362,583,324,383,0.54,47,22.94,7.51,71.04,11.55,50.53,5.63,59.91,86.79,229.86,,,,,,,,
"Cabedelo",2503209,11.61,24.5,19.4,444,599,748,557,697,782,51,32.66,21.78,91.9,43.14,62.11,18.21,255.62,611.5,1036.21,,,,,,,,
"Cabixi",1100031,2.58,7.32,3.6,309,488,0.65,0.43,604,0.65,33,24.44,7.56,58.34,22.04,58.34,9.86,116.38,342.46,457.17,,,,,,,,
"Cabo de Santo Agostinho",2602902,16.47,30.51,18.78,427,547,686,514,566,654,44,21.55,10.59,86.48,13.88,62.28,5.59,196.33,270.17,467.07,,,,,,,,
"Cabo Frio",3300704,8.94,18.32,9.88,515,614,735,633,702,743,48,29.91,13.51,68.9,26.56,55.7,11.22,410.62,630.38,815.75,,,,,,,,
"Cabo Verde",3109501,2.46,5.03,2.73,377,588,674,581,711,686,26,20.11,5.97,43.3,17.77,37.25,11.83,298.11,667.47,571.6,,,,,,,,
"Cabrália Paulista",3508306,3.33,7.88,3.39,448,577,694,612,609,667,47,21.64,7.17,113.95,15.16,96.12,10.59,361.53,354.87,507.41,,,,,,,,
"Cabreúva",3508405,7.15,14.96,8.61,478,626,738,678,679,717,36,22.58,13.85,69.7,21.47,64.06,11.01,542.98,545.71,694.03,,,,,,,,
"Cabrobó",2603009,10.27,17.38,14.75,381,466,623,493,533,581,44,27.24,9.59,74.62,12.64,55.93,5.96,171.46,221.03,298.14,,,,,,,,
"Caçador",4203006,4.97,10.23,5.22,514,601,735,622,678,728,35,29.14,16.3,57.32,32.07,50.48,15.32,383.13,542.59,744.28,,,,,,,,
"Caçapava",3508504,8.25,16.92,9.5,542,694,788,685,724,754,42,21.05,13.49,86.22,30.23,73.32,11.89,569.02,723.04,871.87,,,,,,,,
"Caçapava do Sul",4302808,5.71,17.04,7.89,494,599,704,596,649,699,33,35.38,15.13,45.2,34.74,39.2,19.35,326.29,453.2,618.98,,,,,,,,
"Cacaulândia",1100601,3.49,7.79,4.51,283,454,646,0.47,647,664,21,23.92,9.96,52.78,15.89,52.78,9.05,149.14,447.09,499.93,,,,,,,,
"Cacequi",4302907,8.85,20.68,8.97,491,0.58,0.7,579,0.61,0.68,24,22.26,9.73,36.66,22.68,36.03,11.77,293.37,356.93,550.88,,,,,,,,
"Cáceres",5102504,8.46,15.91,10.03,0.42,586,708,566,645,691,35,34.57,23.4,48.85,34.81,43.68,16.25,271.34,442.8,590.43,,,,,,,,
"Cachoeira",2904902,11.9,18.26,16.57,399,516,647,481,546,615,51,38.55,16.13,74.28,34.41,56.6,17.16,159.84,239.23,368.11,,,,,,,,
"Cachoeira Alta",5204102,3.67,9.48,3.88,475,579,0.71,635,675,0.75,42,14.76,10.38,27.54,18.05,25.81,7.21,416.44,533.77,853.32,,,,,,,,
"Cachoeira da Prata",3109600,9.39,25.36,11.68,516,651,741,627,635,689,64,28.83,10.5,90.28,23.78,57.77,14.84,396.97,414.89,583.28,,,,,,,,
"Cachoeira de Goiás",5204201,9.17,19.88,5.63,378,575,727,551,594,0.68,47,19.11,7.66,104.45,23.3,72,11.54,247.27,321.63,549.16,,,,,,,,
"Cachoeira de Minas",3109709,5.2,11.02,8.73,469,608,706,524,623,673,22,22.43,11.7,33.34,23.23,32,13.91,208.94,386.44,527.44,,,,,,,,
"Cachoeira de Pajeú",3102704,9.64,14.39,9.23,284,417,578,457,477,563,28,20.06,8.26,62.15,7.48,56.72,3.42,137.77,155.69,265.27,,,,,,,,
"Cachoeira do Arari",1502004,10.49,27,7.27,324,427,546,462,543,525,50,34.25,17.27,48.11,6.58,37.39,0.94,141.42,234.73,209.79,,,,,,,,
"Cachoeira do Piriá",1501956,5.02,11.9,5.66,203,301,473,369,406,449,33,20.43,7.42,50.22,2.25,37.17,0.14,79.29,100.36,130.4,,,,,,,,
"Cachoeira dos Índios",2503308,8.82,13.58,6.45,256,394,587,357,467,583,39,26.08,6.65,56.09,15.8,50.78,7.34,73.57,146.09,301.77,,,,,,,,
"Cachoeira do Sul",4303004,7.16,17.66,10.76,546,661,742,659,686,739,35,26.81,12.3,52.71,25.59,44.44,12.19,482.26,570,793.67,,,,,,,,
"Cachoeira Dourada",3109808,3.61,3.78,,431,616,726,518,0.66,695,75,34.52,12.3,70.33,36.78,61.21,19.7,201.44,485.31,606.15,,,,,,,,
"Cachoeira Dourada",5204250,5.82,14.37,7,0.44,589,698,0.6,644,703,52,30.45,11.88,78.36,26.87,65.03,10.94,334.78,439.47,636.17,,,,,,,,
"Cachoeira Grande",2102374,6.4,14.05,8.92,256,344,537,353,362,422,41,36.16,19.92,83.65,4.67,63.14,1.28,72.17,76.32,110.65,,,,,,,,
"Cachoeira Paulista",3508603,8.7,18.07,9.03,553,676,764,0.64,682,733,52,27.76,13.04,70.2,30.24,58.34,14.42,430.41,555.87,764.6,,,,,,,,
"Cachoeiras de Macacu",3300803,10.02,21.02,11.82,455,0.58,0.7,565,643,695,38,26.95,8.86,70.62,15.66,58.55,8.28,269.94,438.38,604.45,,,,,,,,
"Cachoeirinha",1703826,4.64,11.22,7.13,314,443,627,387,411,548,24,26.49,16.73,49.12,22.19,49.12,5.66,89.16,103.17,241.7,,,,,,,,
"Cachoeirinha",2603108,5.89,10.63,7.43,363,481,579,526,552,587,37,23.76,9.71,75.13,11.33,59.9,5.91,211.73,247.57,308.18,,,,,,,,
"Cachoeirinha",4303103,6.15,12.39,6.24,546,672,757,651,701,749,35,29.18,16.3,35.9,37.73,28.57,14.5,460.02,628.97,844.04,,,,,,,,
"Cachoeiro de Itapemirim",3201209,7.47,17.13,8.69,524,631,746,632,678,733,54,28.34,10.14,70.76,29.85,60.38,15.76,408.35,544.76,763.71,,,,,,,,
"Cacimba de Areia",2503407,3.77,10.72,10.03,276,413,596,381,452,553,42,16,12.64,78.27,14.94,63.62,3.63,85.81,133.23,249.79,,,,,,,,
"Cacimba de Dentro",2503506,7.08,16.9,9.36,236,372,564,399,0.44,551,40,26,8,65.66,9.19,58.3,6.31,95.65,123.96,246.21,,,,,,,,
"Cacimbas",2503555,8.11,14.58,9.74,168,312,523,309,368,501,33,21.45,2.87,70.37,9.07,61.41,5.44,54.8,78.85,181.17,,,,,,,,
"Cacimbinhas",2701209,7.18,12.86,8.76,282,359,531,0.45,463,559,35,33.52,12.87,36.41,16.54,31.02,6.93,131.92,142.84,259.72,,,,,,,,
"Cacique Doble",4303202,0.62,1.22,1.57,424,576,662,524,601,677,17,25.15,7.34,29.53,27.16,27.18,15.86,208.04,337.7,539.67,,,,,,,,
"Cacoal",1100049,5.61,13.1,6.22,407,567,718,593,0.65,727,29,34.58,17.97,54.45,38.23,51.33,17.45,320.24,456.63,738.06,,,,,,,,
"Caconde",3508702,5.55,14.9,6.4,456,619,0.72,583,662,701,34,21.57,6.61,73.36,19.21,66.02,13,300.5,493.61,627,,,,,,,,
"Caçu",5204300,3.04,5.37,3.65,452,621,0.73,655,0.68,774,33,26.38,7.54,66.37,22.48,58.18,13.56,470.79,550.81,987.3,,,,,,,,
"Caculé",2905008,4.91,9.44,5.96,356,501,637,443,582,621,35,23.3,7.31,49.02,14.43,45.76,9.54,126.19,299.03,382.15,,,,,,,,
"Caém",2905107,9.35,22.57,20.15,272,387,546,376,437,535,48,24.87,5.21,60.94,6.96,55.02,1.67,83.12,121.08,223.48,,,,,,,,
"Caetanópolis",3109907,8.62,20.1,10.75,0.43,603,706,587,653,674,49,29.27,10.32,71.28,21.9,71.28,13.26,308.43,466.19,531.65,,,,,,,,
"Caetanos",2905156,11.03,21.11,11.43,0.18,318,542,378,447,536,37,25.79,13.83,40.07,8.37,35.4,1.8,84.29,129.49,224.38,,,,,,,,
"Caeté",3110004,7.8,15.15,6.33,501,661,728,578,669,0.69,40,25.27,9.03,80.21,23.78,72.42,9.57,291.47,512.58,586.16,,,,,,,,
"Caetés",2603207,3.82,5.29,0.75,241,336,522,419,0.42,497,33,32.92,18.99,76.32,8.33,68.67,5.34,108.54,109.32,176.77,,,,,,,,
"Caetité",2905206,6.77,11.9,9.68,331,454,625,451,522,631,34,32.54,14.49,55.38,16.92,46.8,10.5,132.22,205.7,405.31,,,,,,,,
"Cafarnaum",2905305,5.21,8.71,5.88,257,417,584,423,499,554,35,19.45,5.04,59.25,6.2,50.62,2.22,110.93,178.21,251.31,,,,,,,,
"Cafeara",4103404,7.48,19.43,10.75,435,586,693,528,0.59,683,67,15.67,5.58,79.04,12.6,63.28,9.69,213.63,313.98,560.67,,,,,,,,
"Cafelândia",3508801,6.07,11.33,8.6,504,654,742,596,699,714,32,24.05,8.28,59.7,23.82,55.16,15.28,325.66,620.25,680.71,,,,,,,,
"Cafelândia",4103453,3.07,6.56,4.99,516,666,748,0.69,669,723,51,26.14,11.15,61.22,34.87,55.13,17.32,587.75,514.95,721.38,,,,,,,,
"Cafezal do Sul",4103479,2.84,8.62,,357,0.58,692,467,629,686,39,22.64,9.82,47.1,34.68,37.61,13.91,146.4,400.1,569.82,,,,,,,,
"Caiabu",3508900,7.3,16.34,8.35,0.48,626,729,517,598,682,49,22.47,16.21,68.07,36.3,65.66,14.06,199.82,329.55,559.13,,,,,,,,
"Caiana",3110103,4.32,7.23,2.12,384,538,633,497,629,631,38,17.9,5.91,74.56,10.92,59.61,6,176.31,400.49,406.23,,,,,,,,
"Caiapônia",5204409,5.21,10.37,6.4,442,562,693,599,617,701,30,33.28,14.46,56.51,35.59,55.2,17.21,331.63,372.39,628.14,,,,,,,,
"Caibaté",4303301,3.78,10.54,6.16,483,614,719,588,633,709,44,35.79,13.17,59.35,27.12,59.35,17.44,310.98,411.94,659.58,,,,,,,,
"Caibi",4203105,0.84,1.99,0.94,491,631,728,608,685,737,62,41.67,10.61,72.45,43.99,72.45,32.09,351.91,567.75,783.57,,,,,,,,
"Caiçara",2503605,8.04,14.78,12.36,266,425,592,0.38,469,0.58,50,30.71,8.12,91.46,19.74,72.55,10.21,85.09,147.99,294.68,,,,,,,,
"Caiçara",4303400,0.32,0.45,,471,612,699,577,635,721,32,30.62,6.55,51.22,25.79,48.2,22.13,290.15,415.22,712.77,,,,,,,,
"Caiçara do Norte",2401859,7.91,13.08,11.81,326,424,574,402,451,572,57,24.91,6.4,65.15,3.75,46.5,2.64,97.76,132.08,280.53,,,,,,,,
"Caiçara do Rio do Vento",2401909,9.1,22.06,6.79,274,428,587,361,475,553,56,22.47,7.84,36.84,9.85,30.77,4.13,75.81,153.85,250.07,,,,,,,,
"Caicó",2402006,6.68,17.86,5.66,499,613,0.71,567,632,703,55,30.74,13.88,63.39,28.58,52.33,13.38,272.98,409.68,637.13,,,,,,,,
"Caieiras",3509007,8.87,16.71,10.49,545,687,781,685,706,0.74,50,25.21,12.16,96.27,35.26,75.99,16.42,566.39,648.98,800.15,,,,,,,,
"Cairu",2905404,8.7,12.54,11.63,259,437,627,447,487,0.6,54,24.9,12.48,43.04,12.77,41.76,5,128.83,165.54,334.19,,,,,,,,
"Caiuá",3509106,6.17,17.18,4.33,435,593,697,0.5,576,665,37,22.06,4.48,49.1,16.23,49.1,10.96,180.09,288.27,500.47,,,,,,,,
"Cajamar",3509205,8.47,12.25,8.27,501,634,728,684,699,713,54,25.26,13.41,77.95,24.58,68.01,11.34,565.16,618.93,676.5,,,,,,,,
"Cajapió",2102408,9.65,13.7,11.02,246,388,553,356,369,466,49,18.87,6.7,78.5,2.62,64.95,,73.41,79.31,145.01,,,,,,,,
"Cajari",2102507,3.94,11.53,6.18,257,331,523,365,379,456,33,29.62,8.32,70.4,4.45,64.15,2.12,77.56,84.59,136.39,,,,,,,,
"Cajati",3509254,9.59,17.48,11.72,434,579,694,574,606,658,37,16.29,11.97,63.93,20.33,61.39,7.38,284.46,347.32,481.48,,,,,,,,
"Cajazeiras",2503704,6.36,13.99,7.05,428,528,679,508,0.58,668,39,37.38,15.3,69.82,32.25,56.11,18.69,188.52,296.35,511.56,,,,,,,,
"Cajazeiras do Piauí",2202075,9.5,23.7,8.23,194,333,562,331,432,525,54,41.2,25.67,59.9,13.73,43.43,6.33,62.75,117.84,210.45,,,,,,,,
"Cajazeirinhas",2503753,2.16,3.87,5.98,0.16,357,0.55,384,454,521,53,49.28,31.27,59.88,22.25,49.99,11.34,87.53,134.98,205.12,,,,,,,,
"Cajobi",3509304,4.85,10.44,5.7,505,617,734,0.66,636,714,41,21.96,8.37,73.64,20.53,71.37,13.83,485.4,418.34,679.75,,,,,,,,
"Cajueiro",2701308,14.27,31.42,15.22,288,385,562,429,445,542,41,26.46,7.41,62.79,7.2,57.1,3.23,115.66,127.46,232.85,,,,,,,,
"Cajueiro da Praia",2202083,6.01,10.02,5.37,167,365,546,341,434,551,46,33.33,8.46,74.52,10.43,47.07,4.1,66.93,119.32,246.88,,,,,,,,
"Cajuri",3110202,1.2,1.57,3.32,334,534,617,427,571,599,26,29.77,11.5,64.47,17.85,54.27,9.89,113.72,279.76,333.45,,,,,,,,
"Cajuru",3509403,3.78,7.47,6.83,514,648,713,643,681,693,42,23.29,6.04,87.95,18.68,80.35,10.46,437.76,552.71,597.11,,,,,,,,
"Calçado",2603306,1.88,6.51,1.59,313,0.41,566,404,463,529,44,23.32,8.31,76.62,9.78,58.02,4.29,99.08,142.25,215.47,,,,,,,,
"Calçoene",1600204,11,23.25,9.62,342,488,643,562,547,636,35,20.67,12.31,81.45,16.8,76.79,2.05,264.85,240,417.71,,,,,,,,
"Caldas",3110301,4.28,11.08,3.37,467,602,687,0.62,0.67,701,25,19.82,8.52,37.3,13.92,32.06,5.68,378.09,517.5,627.21,,,,,,,,
"Caldas Brandão",2503803,9.13,18.63,10.56,249,0.38,568,409,455,562,39,21.91,6.09,82.7,8.25,68.94,4.14,102.25,135.39,264.06,,,,,,,,
"Caldas Novas",5204508,4.22,6.53,4.83,497,623,733,0.65,718,739,39,26.01,10.47,38.62,22.8,33.34,10.79,457.3,698.72,794.78,,,,,,,,
"Caldazinha",5204557,8.41,13.78,12.57,0.38,542,685,557,661,669,40,27.22,12.83,72.45,23.49,54.4,11.18,255.63,488.23,515.56,,,,,,,,
"Caldeirão Grande",2905503,8.65,15.36,11.76,273,397,573,417,438,526,51,30.01,14.33,72.87,15.11,63.58,5,106.89,122.43,211.26,,,,,,,,
"Caldeirão Grande do Piauí",2202091,2.32,6.75,1.13,177,333,588,399,458,561,49,18.74,9.18,36.93,9.98,33.7,5.86,95.66,138.47,262.36,,,,,,,,
"Califórnia",4103503,4.96,13.73,3.47,468,611,722,559,631,718,48,29.39,12.13,88.25,34.39,73.09,16.51,259.11,405.51,698.38,,,,,,,,
"Calmon",4203154,3.14,3.62,2.92,321,427,622,515,514,618,48,20.27,20.18,61.56,22.03,49.39,8.57,197.62,196.51,373.86,,,,,,,,
"Calumbi",2603405,9.78,20.27,21.58,321,0.41,571,388,455,567,33,22.19,7.8,39.44,9.7,36.36,6.72,89.53,135.53,272.66,,,,,,,,
"Camacan",2905602,14.99,23.87,15.9,316,441,581,496,559,608,38,34.54,18.74,35.85,11.05,27.34,3.73,174.87,258.72,351.84,,,,,,,,
"Camaçari",2905701,14.7,24.03,16.38,422,551,694,559,0.6,681,40,24.92,11.94,77.67,17.09,52.3,5.99,258.98,334.43,553.18,,0.69,,567.76,,0.68,,538.8
"Camacho",3110400,3.29,12.45,1.94,344,536,0.69,524,546,639,27,20.41,8.98,59.76,27.05,56.07,16.66,208.62,239.88,425.8,,,,,,,,
"Camalaú",2503902,5.31,12.68,6.61,328,405,567,0.41,466,549,51,18.36,7.5,61.96,10.7,48.37,6.25,102.79,145.33,242.92,,,,,,,,
"Camamu",2905800,9.12,20.75,11.04,0.27,377,565,0.42,472,562,32,31.14,14.33,47.77,8.68,42.01,2.21,109.38,150.6,264.63,,,,,,,,
"Camanducaia",3110509,3.94,9.46,3.19,413,559,689,609,667,707,48,21.27,14.94,58.28,19.88,49.29,7.36,353.63,506.23,649.49,,,,,,,,
"Camapuã",5002605,5.33,11.82,5.26,452,582,703,638,652,715,32,19.52,11.35,33.55,24.32,25.2,8.5,424.63,462.09,685.77,,,,,,,,
"Camaquã",4303509,4.74,10.42,5.27,469,609,697,624,673,715,21,24,10.78,36.35,23.7,33.86,9.38,389.5,528.6,686.36,,,,,,,,
"Camaragibe",2603454,14.69,30.56,16.97,468,582,692,534,606,656,49,29.63,10.72,89.56,21.53,58.33,8.72,222.34,346.83,473.78,,,,,,,,
"Camargo",4303558,1.64,1.4,1.81,457,661,736,626,0.69,762,43,32.86,16.16,80.74,49.24,73.48,29.42,392.73,586.14,916.32,,,,,,,,
"Cambará",4103602,7.93,19.61,10.1,0.55,645,721,659,658,711,35,31.56,12.33,39.91,28.16,35.55,15.13,481.93,481.19,666.89,,,,,,,,
"Cambará do Sul",4303608,2.97,5.58,3.1,476,564,697,586,633,705,35,15.9,7.43,39.96,20.64,35.14,6.15,306.81,411.87,643.45,,,,,,,,
"Cambé",4103701,4.23,7.44,5.98,497,661,734,607,673,724,37,24.9,10.89,57.3,29.61,45.88,15.99,349.31,526.73,723.34,,,,,,,,
"Cambira",4103800,3.32,5.9,5.18,476,633,725,0.56,634,702,45,27.98,7.87,53.22,27.89,43.96,19.03,260.58,412.58,630.19,,,,,,,,
"Camboriú",4203204,3.71,7.09,3.41,466,592,726,623,656,736,48,17.83,10.05,53.54,16.84,50.07,8.92,385.15,474.88,781.76,,,,,,,,
"Cambuci",3300902,7.32,19.38,9.75,464,599,691,568,626,672,59,29.39,5.68,85.57,18.92,73.88,11.51,273.93,393.34,524.88,,,,,,,,
"Cambuí",3110608,4.26,9.64,4.95,457,654,751,618,0.67,722,39,23.64,10.68,52.95,27.95,44.69,14.47,374.87,518.33,712.9,,,,,,,,
"Cambuquira",3110707,5.91,12.87,11.74,466,0.6,699,595,673,691,52,30.38,8.83,77.31,16.74,65.73,8.03,324.48,528.65,588.83,,,,,,,,
"Cametá",1502103,6.61,12.71,7.25,328,432,577,434,459,538,38,37.73,14.29,66.21,11.23,50.63,4.07,118.89,138.85,226.99,,,,,,,,
"Camocim",2302602,9.04,17.86,11.43,305,462,0.62,437,515,565,48,19.57,7.08,85.96,11.46,60.92,4.5,121.29,196.83,269,,,,,,,,
"Camocim de São Félix",2603504,9.97,23.96,8.94,321,445,588,536,542,585,45,29.54,8.85,82.92,8.17,69.74,4.25,225.11,233.37,305.53,,,,,,,,
"Campanário",3110806,11.39,25.35,19.57,372,534,616,501,567,607,42,24.97,5.66,40.84,14.79,40.84,8.53,180.91,271.77,350.46,,,,,,,,
"Campanha",3110905,4.54,11.87,3.99,469,0.63,709,595,682,715,42,27.77,7.34,76.42,19.85,66.26,12.95,324.6,556.15,686.16,,,,,,,,
"Campestre",2701357,13.2,23.81,16.46,312,412,559,432,0.48,0.55,33,26.59,14.16,61.04,11.49,56.27,4.9,117.67,158.19,245.43,,,,,,,,
"Campestre",3111002,2.68,9.21,0.97,431,578,698,578,649,712,30,26.68,15.05,59.2,16.42,57.13,9.13,291.11,453.11,669.87,,,,,,,,
"Campestre da Serra",4303673,1.46,5.12,2.91,436,622,706,584,647,713,18,23.78,6.11,41.91,24.79,41.91,16.09,303.46,447.32,675.91,,,,,,,,
"Campestre de Goiás",5204607,5.31,11.12,8.17,0.42,524,653,527,584,628,24,30.48,6.97,48.85,15.99,43.11,8.8,212.52,302.37,398.5,,,,,,,,
"Campestre do Maranhão",2102556,9.5,18.78,11.32,249,441,652,422,495,611,41,26.85,12.59,86.4,17.58,63.37,7.25,110.72,173.64,358,,,,,,,,
"Campinaçu",5204656,4.79,16.94,5.33,373,494,631,0.52,552,644,28,16.41,6.87,25.37,5.31,23.64,4.35,203.1,248.24,438.93,,,,,,,,
"Campina da Lagoa",4103909,5.53,12.7,6.2,433,598,704,528,619,677,42,20.01,6.83,66.67,17.32,58.03,9.09,214.35,376.46,540.04,,,,,,,,
"Campina das Missões",4303707,1.15,4.76,5.22,515,607,738,524,591,698,51,32.05,15.73,63.78,34.56,63.78,22.01,208.76,316.73,615.85,,,,,,,,
"Campina do Monte Alegre",3509452,9.49,18.75,12.97,364,592,717,592,629,687,38,10.01,8.43,88.74,9,82.98,3.67,317.55,399.82,575.66,,,,,,,,
"Campina do Simão",4103958,6.02,12.81,3.49,247,491,0.63,476,539,598,23,17.39,4.05,37.26,12.05,36.21,4.49,155,229.43,330.48,,,,,,,,
"Campina Grande",2504009,10.53,23.92,12.85,476,601,0.72,584,647,702,50,39.25,18.19,94.03,39.98,66.35,20.16,302.81,449.24,630.03,,0.7,,638.34,,0.7,,622.57
"Campina Grande do Sul",4104006,4.29,9.71,6.42,433,597,718,604,639,712,30,21.96,10.74,33.02,20.93,30.82,10.52,343.64,426.01,671.29,,,,,,,,
"Campinápolis",5102603,2.25,2.9,2.98,273,443,538,531,572,597,20,41.77,20.25,19.44,5.46,19.2,2.81,217.62,280.44,328.15,,,,,,,,
"Campinas",3509502,6.25,13.18,7,618,735,805,775,808,829,56,34.26,18.32,75.82,48.63,59.53,21.46,995.15,1223.77,1390.83,,0.83,,1408.38,,0.83,,1374.52
"Campinas do Piauí",2202109,3.79,5.11,7.32,274,371,544,0.4,421,524,52,36.69,22.28,91.57,17.36,59.5,5.86,96.54,109.8,209,,,,,,,,
"Campinas do Sul",4303806,3.21,10.16,4.18,528,665,0.76,632,678,753,45,31.79,15.31,61.59,37.55,59.32,22.51,408.41,544.03,869.1,,,,,,,,
"Campina Verde",3111101,4.65,11.93,6.9,446,621,704,594,677,714,36,29.37,10.92,62.98,23.4,55.69,13.76,321.67,541.66,681.73,,,,,,,,
"Campinorte",5204706,4.52,9.23,7.09,389,547,688,529,596,685,19,41.32,23.76,34.72,28.17,31.49,11.51,215.67,325.63,567.41,,,,,,,,
"Campo Alegre",2701407,24.42,45.48,29.69,292,393,0.57,0.46,468,531,28,33.18,10.54,39.28,5.93,34.61,2.81,140.4,147.16,217.72,,,,,,,,
"Campo Alegre",4203303,3.51,9.24,4.76,447,582,714,554,642,677,35,17.78,4.86,53.75,19,52.89,12.18,251.78,435.48,539.9,,,,,,,,
