Código;Espacialidades;Taxa de desocupação - 18 anos ou mais 2010;Taxa de desocupação - 18 a 24 anos 2010;Taxa de desocupação - 25 a 29 anos 2010;IDHM 1991;IDHM 2000;IDHM 2010;IDHM Renda 1991;IDHM Renda 2000;IDHM Renda 2010;% de 0 a 5 anos na escola 2010;% de 18 a 24 anos na escola 2010;% de 25 a 29 anos na escola 2010;Taxa de frequência bruta à pré-escola 2010;Taxa de frequência bruta ao superior 2010;Taxa de frequência líquida à pré-escola 2010;Taxa de frequência líquida ao superior 2010;Renda per capita 1991;Renda per capita 2000;Renda per capita 2010
2900702;Alagoinhas;12.97;23.57;16.34;0.452;0.55;0.683;0.568;0.613;0.681;40;32.89;12.13;73.91;19.54;53.58;7.6;274.52;363.32;553.17
3500758;Alambari;7.89;13.47;9.37;0.418;0.572;0.712;0.612;0.64;0.682;37;17.26;1.6;61.78;11.93;51.75;9.85;361.56;429.24;556.36
3101409;Albertina;2.33;7.64;2.39;0.403;0.546;0.673;0.594;0.637;0.684;23;17.38;6.22;40.9;17.83;35.77;9.38;322.92;421.88;564.08
2100204;Alcântara;7.63;18.08;15.04;0.271;0.405;0.573;0.43;0.433;0.525;31;18.52;8.2;62.2;5.57;55.93;2.47;116;118.37;209.27
2300507;Alcântaras;4.57;9.43;7.95;0.285;0.422;0.6;0.386;0.456;0.549;59;18.06;6.17;99.06;13.22;72.99;5.12;88.52;136.44;243.73
2500536;Alcantil;2.98;4.59;5.32;0.321;0.408;0.578;0.435;0.456;0.55;39;22.22;5.24;51.96;7.38;47.01;2.97;120.11;136.38;245.01
5000252;Alcinópolis;3;5.41;3.53;0.295;0.536;0.711;0.655;0.692;0.733;34;22.09;4.8;33.99;23.08;33.99;14.87;470.09;591.69;764.03
2900801;Alcobaça;8.7;15.97;9.3;0.272;0.453;0.608;0.459;0.543;0.611;33;24.13;9.44;55.45;11.82;42.66;2.97;139.33;234.96;357.99
2100303;Aldeias Altas;10.78;26.58;12.27;0.257;0.349;0.513;0.397;0.424;0.5;40;29.51;9.39;55.77;5.23;47.46;3.15;94.82;112.18;179.92
4300307;Alecrim;0.57;2.92;2.41;0.425;0.548;0.672;0.513;0.576;0.683;22;31.51;9.09;42.4;25.48;36.29;20.25;195.15;287.84;561.62
3200201;Alegre;5.46;13.34;4.33;0.469;0.616;0.721;0.575;0.639;0.708;51;31.76;13.36;73.71;33.71;55.74;18.55;286.49;426.17;655.72
4300406;Alegrete;7.09;15.43;10.38;0.524;0.641;0.74;0.651;0.675;0.72;37;32.06;15.64;63.99;30.41;55.34;15.04;459.15;533.5;705.29
2200277;Alegrete do Piauí;15.44;27.41;23.34;0.265;0.431;0.585;0.424;0.525;0.564;42;42.43;21.25;89.81;27.63;70.2;15.45;112.15;210.13;268.12
4300455;Alegria;0.75;5.26;1.63;0.412;0.578;0.695;0.525;0.582;0.717;34;21.01;6.05;63.98;23.94;55.08;13.86;210.31;299.59;692.76
3101508;Além Paraíba;6.82;20.1;8.75;0.553;0.65;0.726;0.628;0.689;0.713;40;28.88;5.11;79.72;23.88;58.81;13;397.32;583.96;674.5
1500404;Alenquer;6.61;14.44;9.9;0.328;0.433;0.564;0.464;0.486;0.529;40;33.6;14.13;65.62;10.69;54.25;2.45;143.85;165.11;215.33
2400505;Alexandria;11.26;24.53;20.65;0.33;0.467;0.606;0.464;0.479;0.581;53;31.38;12.1;85.14;24.08;50.06;10.1;143.22;157.76;296.5
5200308;Alexânia;5.89;9.81;11.49;0.378;0.52;0.682;0.529;0.6;0.664;26;20.03;10.88;32.66;22.25;29.47;8.96;215.34;335.05;498.09
3101607;Alfenas;6.56;15.55;8.67;0.536;0.675;0.761;0.657;0.72;0.737;52;36.48;16.2;77.44;43.2;67.69;24.62;476.91;704.36;783.41
3200300;Alfredo Chaves;2.56;6.38;5.71;0.48;0.604;0.71;0.57;0.624;0.703;55;21.06;8.35;77.36;20.7;70.34;10.43;277.2;387.77;634.97
3500808;Alfredo Marcondes;7.29;15.71;11.33;0.55;0.646;0.741;0.62;0.645;0.682;44;26.91;3.82;87.79;29.14;87.79;23.77;378.46;443.27;558.38
3101631;Alfredo Vasconcelos;5.62;13;8.01;0.405;0.573;0.675;0.503;0.572;0.629;39;18.26;1.69;63.59;10.51;58.25;4.86;182.88;280.32;400.14
4200705;Alfredo Wagner;1.89;4.74;1.02;0.389;0.548;0.668;0.579;0.671;0.702;23;16.23;6.79;31.51;13.7;23.15;7.12;293.86;521.78;630.54
